spl;coverage;productId;runID;configCount;suiteSize;totalTransitions;coveragePct;genTimeMs;peakMemoryMb
SVM;state;1;1;1;1;6;1,0000;1,7758;0,0000
SVM;transition;1;1;1;1;6;1,0000;3,5957;0,3813
SVM;pair;1;1;1;1;8;1,0000;2,7540;0,3793
SVM;state;2;1;1;1;11;1,0000;0,6768;0,3793
SVM;transition;2;1;1;1;10;1,0000;1,1391;0,3814
SVM;pair;2;1;1;2;13;1,0000;1,2810;0,3814
SVM;state;3;1;1;1;6;1,0000;0,9571;0,3814
SVM;transition;3;1;1;1;7;1,0000;0,8356;0,3814
SVM;pair;3;1;1;1;8;1,0000;0,9493;0,3814
SVM;state;4;1;1;1;6;1,0000;0,3279;0,3814
SVM;transition;4;1;1;1;7;1,0000;4,1191;0,3814
SVM;pair;4;1;1;1;8;1,0000;0,7860;0,3814
SVM;state;5;1;1;1;7;1,0000;0,2755;0,3814
SVM;transition;5;1;1;1;7;1,0000;0,5022;0,3814
SVM;pair;5;1;1;1;9;1,0000;0,6788;0,3814
SVM;state;6;1;1;1;6;1,0000;0,2488;0,3814
SVM;transition;6;1;1;1;6;1,0000;0,3545;0,3814
SVM;pair;6;1;1;1;8;1,0000;0,4812;0,3814
SVM;state;7;1;1;1;10;1,0000;0,2387;0,3814
SVM;transition;7;1;1;1;9;1,0000;0,3709;0,3814
SVM;pair;7;1;1;2;12;1,0000;0,5198;0,3814
SVM;state;8;1;1;1;3;1,0000;0,1679;0,3814
SVM;transition;8;1;1;1;4;1,0000;0,2220;0,3814
SVM;pair;8;1;1;1;5;1,0000;0,2709;0,3814
SVM;state;9;1;1;1;10;1,0000;0,1634;0,3814
SVM;transition;9;1;1;1;9;1,0000;0,3913;0,3814
SVM;pair;9;1;1;1;12;1,0000;0,4363;0,3814
SVM;state;10;1;1;1;15;1,0000;0,1983;0,3814
SVM;transition;10;1;1;1;12;1,0000;0,3392;0,3814
SVM;pair;10;1;1;3;17;1,0000;1,3645;0,3814
SVM;state;11;1;1;1;10;1,0000;0,1780;0,3814
SVM;transition;11;1;1;1;9;1,0000;0,3100;0,3814
SVM;pair;11;1;1;2;12;1,0000;0,3922;0,3814
SVM;state;12;1;1;1;3;1,0000;0,0818;0,3814
SVM;transition;12;1;1;1;4;1,0000;0,1462;0,3814
SVM;pair;12;1;1;1;5;1,0000;0,2366;0,3814
