SPL Name;Coverage Type;Products;FTS States                 (mean per product);FTS Transitions (mean per product);Test Cases (per product) median;Test Cases (per product) p25;Test Cases (per product) p75;Total Test Actions (per product) median;Total Test Actions (per product) p25;Total Test Actions (per product) p75;Projection Time(ms) (per product) median;Projection Time(ms) (per product) p25;Projection Time(ms) (per product) p75;Test Generation Time(ms) (per product) median;Test Generation Time(ms) (per product) p25;Test Generation Time(ms) (per product) p75;Transformation Time(ms) (per product) median;Transformation Time(ms) (per product) p25;Transformation Time(ms) (per product) p75;Test Execution Time(ms) (per product) median;Test Execution Time(ms) (per product) p25;Test Execution Time(ms) (per product) p75;Wall Clock Time(ms) (per product) median;Wall Clock Time(ms) (per product) p25;Wall Clock Time(ms) (per product) p75;Segment Sum Time(ms) (per product) median;Segment Sum Time(ms) (per product) p25;Segment Sum Time(ms) (per product) p75;Test Generation Peak Memory (MB) (max) median;Test Generation Peak Memory (MB) (max) p25;Test Generation Peak Memory (MB) (max) p75;Test Execution Peak Memory (MB) (max) median;Test Execution Peak Memory (MB)  (max) p25;Test Execution Peak Memory (MB) (max) p75;Coverage(%) (mean per product) median;Coverage(%) (mean per product) p25;Coverage(%) (mean per product) p75
SVM;state;12;6,3333;7,1667;1,8333;1,8333;1,8333;7,75;7,75;7,75;0,3642;0,3554;0,3771;0,2683;0,26;0,2825;0;0;0;0,1317;0,1233;0,1333;0,8433;0,8188;0,8638;0,7725;0,7517;0,7946;21,21;21,21;21,25;21,21;21,21;21,25;100;100;100
SVM;transition;12;6,3333;7,1667;1,8333;1,8333;1,8333;7,1667;7,1667;7,1667;0,1658;0,1625;0,1825;0,6258;0,6192;0,6479;0;0;0;0,0625;0,0604;0,0646;0,9083;0,9013;0,9296;0,8625;0,8575;0,8854;21,21;21,21;21,25;21,21;21,21;21,25;100;100;100
SVM;pair;12;6,3333;7,1667;2,8333;2,8333;2,8333;10,0833;10,0833;10,0833;0,1658;0,155;0,1796;0,1517;0,1496;0,1583;0,3167;0,3042;0,3217;0,0592;0,0575;0,0604;0,9375;0,9267;0,9896;0,6875;0,6825;0,7329;21,21;21,21;21,25;21,21;21,21;21,25;100;100;100
eMail;state;23;8,3913;17,2174;3,1739;3,1739;3,1739;9,0435;9,0435;9,0435;0,1465;0,0976;0,1965;0,1083;0,095;0,1287;0;0;0;0,0217;0,0196;0,0293;0,2896;0,2752;0,3689;0,2665;0,2472;0,3446;40,21;40,21;40,25;40,21;40,21;40,25;100;100;100
eMail;transition;23;8,3913;17,2174;5,6957;5,6957;5,6957;15,6957;15,6957;15,6957;0,0935;0,0867;0,1139;0,2713;0,213;0,3015;0;0;0;0,0522;0,0437;0,0643;0,4804;0,4098;0,5224;0,443;0,3724;0,4793;40,21;40,21;40,25;40,21;40,21;40,25;100;100;100
eMail;pair;23;8,3913;17,2174;24,6522;24,6522;24,6522;82,4348;82,4348;82,4348;0,0922;0,09;0,1174;0,0839;0,0763;0,1041;0,5061;0,4893;0,5835;0,2674;0,1965;0,292;1,2413;1,0822;1,3074;1,0504;0,8978;1,0937;40,21;40,21;40,25;43,51;40,27;43,76;100;100;100
Elevator;state;42;8,8571;25,7619;3;3;3;8,7143;8,7143;8,7143;0,0943;0,087;0,1105;0,0936;0,0907;0,1198;0;0;0;0,0117;0,011;0,0121;0,229;0,2025;0,2655;0,2162;0,1902;0,249;76,6;76,02;76,755;76,51;75,81;76,62;100;100;100
Elevator;transition;42;8,8571;25,7619;11,3333;11,3333;11,3333;22,0476;22,0476;22,0476;0,0919;0,0873;0,1229;0,201;0,1893;0,2423;0;0;0;0,039;0,0364;0,045;0,3836;0,3687;0,4542;0,3507;0,3407;0,4227;76,6;76,385;76,81;76,59;76,26;76,635;100;100;100
Elevator;pair;42;8,8571;25,7619;43,881;43,881;43,881;135,3333;135,3333;135,3333;0,0795;0,0762;0,0919;0,0955;0,0932;0,101;0,5974;0,5807;0,6431;0,1338;0,1314;0,1827;1,1326;1,1065;1,2105;0,9121;0,8863;0,9786;76,64;76,605;77,02;76,64;76,605;77,12;100;100;100
BankAccountv2;state;498;16,006;24,3614;6,6446;6,6446;6,6446;22,7831;22,7831;22,7831;0,0657;0,0615;0,0719;0,0756;0,073;0,0846;0;0;0;0,0138;0,0136;0,0142;0,1703;0,158;0,1762;0,162;0,1501;0,1677;77,9;77,325;78,635;77,9;77,09;78,66;100;100;100
