SPL Name;Operator;Coverage Type;Products;Total Mutants sum;Equivalent sum;Killed sum;Survived sum;Pooled Mutation Score(%)
BankAccountv2;ActionExchange;family-baseline;498;45465;0;41862;3603;92,0752
BankAccountv2;StateMissing;family-baseline;498;7473;0;6981;492;93,4163
BankAccountv2;TransitionDestinationExchange;family-baseline;498;44217;22518;19737;1962;90,9581
BankAccountv2;TransitionMissing;family-baseline;498;12132;0;10818;1314;89,1691
BankAccountv2;ActionExchange;pair;498;45465;0;45465;0;100,0000
BankAccountv2;StateMissing;pair;498;7473;0;7473;0;100,0000
BankAccountv2;TransitionDestinationExchange;pair;498;44217;22518;21699;0;100,0000
BankAccountv2;TransitionMissing;pair;498;12132;0;12132;0;100,0000
BankAccountv2;ActionExchange;state;498;45465;0;37485;7980;82,4480
BankAccountv2;StateMissing;state;498;7473;0;7473;0;100,0000
BankAccountv2;TransitionDestinationExchange;state;498;44217;22518;20379;1320;93,9168
BankAccountv2;TransitionMissing;state;498;12132;0;10374;1758;85,5094
BankAccountv2;ActionExchange;transition;498;45465;0;45465;0;100,0000
BankAccountv2;StateMissing;transition;498;7473;0;7473;0;100,0000
BankAccountv2;TransitionDestinationExchange;transition;498;44217;22518;21699;0;100,0000
BankAccountv2;TransitionMissing;transition;498;12132;0;12132;0;100,0000
Elevator;ActionExchange;family-baseline;42;3176;0;1454;1722;45,7809
Elevator;StateMissing;family-baseline;42;330;0;272;58;82,4242
Elevator;TransitionDestinationExchange;family-baseline;42;3074;228;461;2385;16,1982
Elevator;TransitionMissing;family-baseline;42;926;0;340;586;36,7171
Elevator;ActionExchange;pair;42;3176;0;3176;0;100,0000
Elevator;StateMissing;pair;42;330;0;330;0;100,0000
Elevator;TransitionDestinationExchange;pair;42;3074;228;2846;0;100,0000
Elevator;TransitionMissing;pair;42;926;0;926;0;100,0000
Elevator;ActionExchange;state;42;3176;0;1568;1608;49,3703
Elevator;StateMissing;state;42;330;0;330;0;100,0000
Elevator;TransitionDestinationExchange;state;42;3074;228;744;2102;26,1420
Elevator;TransitionMissing;state;42;926;0;366;560;39,5248
Elevator;ActionExchange;transition;42;3176;0;3176;0;100,0000
Elevator;StateMissing;transition;42;330;0;330;0;100,0000
Elevator;TransitionDestinationExchange;transition;42;3074;228;2050;796;72,0309
Elevator;TransitionMissing;transition;42;926;0;926;0;100,0000
HockertyShirts;ActionExchange;family-baseline;416;43725;0;0;43725;0,0000
HockertyShirts;StateMissing;family-baseline;416;24153;0;0;24153;0,0000
HockertyShirts;TransitionDestinationExchange;family-baseline;416;43725;2087;0;41638;0,0000
HockertyShirts;TransitionMissing;family-baseline;416;28895;0;0;28895;0,0000
HockertyShirts;ActionExchange;pair;416;43725;0;43725;0;100,0000
HockertyShirts;StateMissing;pair;416;24153;0;24153;0;100,0000
HockertyShirts;TransitionDestinationExchange;pair;416;43725;2087;41638;0;100,0000
HockertyShirts;TransitionMissing;pair;416;28895;0;28895;0;100,0000
HockertyShirts;ActionExchange;state;416;43725;0;37704;6021;86,2298
HockertyShirts;StateMissing;state;416;24153;0;24153;0;100,0000
HockertyShirts;TransitionDestinationExchange;state;416;43725;2087;32279;9359;77,5229
HockertyShirts;TransitionMissing;state;416;28895;0;25498;3397;88,2436
HockertyShirts;ActionExchange;transition;416;43725;0;43725;0;100,0000
HockertyShirts;StateMissing;transition;416;24153;0;24153;0;100,0000
HockertyShirts;TransitionDestinationExchange;transition;416;43725;2087;40845;793;98,0955
HockertyShirts;TransitionMissing;transition;416;28895;0;28895;0;100,0000
SVM;ActionExchange;family-baseline;12;120;0;69;51;57,5000
SVM;StateMissing;family-baseline;12;64;0;41;23;64,0625
SVM;TransitionDestinationExchange;family-baseline;12;120;18;60;42;58,8235
SVM;TransitionMissing;family-baseline;12;86;0;52;34;60,4651
SVM;ActionExchange;pair;12;120;0;120;0;100,0000
SVM;StateMissing;pair;12;64;0;64;0;100,0000
SVM;TransitionDestinationExchange;pair;12;120;18;102;0;100,0000
SVM;TransitionMissing;pair;12;86;0;86;0;100,0000
SVM;ActionExchange;state;12;120;0;108;12;90,0000
SVM;StateMissing;state;12;64;0;64;0;100,0000
SVM;TransitionDestinationExchange;state;12;120;18;78;24;76,4706
SVM;TransitionMissing;state;12;86;0;74;12;86,0465
SVM;ActionExchange;transition;12;120;0;120;0;100,0000
SVM;StateMissing;transition;12;64;0;64;0;100,0000
SVM;TransitionDestinationExchange;transition;12;120;18;102;0;100,0000
SVM;TransitionMissing;transition;12;86;0;86;0;100,0000
StudentAttendanceSystem;ActionExchange;family-baseline;2664;294503;0;222787;71716;75,6485
StudentAttendanceSystem;StateMissing;family-baseline;2664;58666;0;51284;7382;87,4169
StudentAttendanceSystem;TransitionDestinationExchange;family-baseline;2664;284588;71575;134739;78274;63,2539
StudentAttendanceSystem;TransitionMissing;family-baseline;2664;113981;0;71334;42647;62,5841
StudentAttendanceSystem;ActionExchange;pair;2664;294503;0;294503;0;100,0000
StudentAttendanceSystem;StateMissing;pair;2664;58666;0;58666;0;100,0000
