SPL Name;Operator;Coverage Budget Source;Products;Mean of per-product Killed Median;Mean of per-product Mutation Score Median(%);Mean of per-product Mutation Score P25(%);Mean of per-product Mutation Score P75(%);Aborted Walks sum
BankAccountv2;ActionExchange;pair;498;90,8534;99,4728;97,5924;99,9506;0
BankAccountv2;StateMissing;pair;498;15,0060;100,0000;99,5184;100,0000;0
BankAccountv2;TransitionDestinationExchange;pair;498;43,4880;99,7575;98,9648;100,0000;0
BankAccountv2;TransitionMissing;pair;498;24,1928;99,2797;97,7009;99,9044;0
BankAccountv2;ActionExchange;state;498;60,2711;66,7402;59,4031;72,7530;0
BankAccountv2;StateMissing;state;498;10,2892;68,7207;58,3904;77,1119;0
BankAccountv2;TransitionDestinationExchange;state;498;30,6988;70,7161;60,8099;79,0869;0
BankAccountv2;TransitionMissing;state;498;14,9518;61,7489;53,4777;69,0627;0
BankAccountv2;ActionExchange;transition;498;67,6928;74,5092;67,7116;80,8437;0
BankAccountv2;StateMissing;transition;498;11,7771;78,2120;69,3217;84,5515;0
BankAccountv2;TransitionDestinationExchange;transition;498;35,0723;80,3712;71,4073;87,1689;0
BankAccountv2;TransitionMissing;transition;498;17,3253;71,1543;63,2327;78,1600;0
Elevator;ActionExchange;pair;42;73,5476;97,1002;94,2874;98,6610;0
Elevator;StateMissing;pair;42;7,8571;100,0000;100,0000;100,0000;0
Elevator;TransitionDestinationExchange;pair;42;61,0000;88,9686;85,3760;92,1686;0
Elevator;TransitionMissing;pair;42;20,8095;94,2919;91,0776;96,8329;0
Elevator;ActionExchange;state;42;27,7619;37,0105;33,3879;41,0300;0
Elevator;StateMissing;state;42;4,9048;62,7350;52,8917;73,3579;0
Elevator;TransitionDestinationExchange;state;42;15,2381;22,1567;19,9431;24,9636;0
Elevator;TransitionMissing;state;42;6,8095;30,7800;28,4486;34,2786;0
Elevator;ActionExchange;transition;42;54,7857;72,7955;66,6214;78,1043;0
Elevator;StateMissing;transition;42;7,1905;91,8245;86,2143;100,0000;0
Elevator;TransitionDestinationExchange;transition;42;35,8333;52,4233;47,6540;56,7624;0
Elevator;TransitionMissing;transition;42;14,4286;65,2074;59,3695;70,2636;0
HockertyShirts;ActionExchange;pair;416;101,1442;96,3269;93,9367;97,7509;0
HockertyShirts;StateMissing;pair;416;57,6827;99,3432;98,3570;99,9195;0
HockertyShirts;TransitionDestinationExchange;pair;416;92,1538;92,2097;89,5889;94,3921;0
HockertyShirts;TransitionMissing;pair;416;66,3365;95,5178;93,7154;96,9527;0
HockertyShirts;ActionExchange;state;416;82,3990;79,1898;74,0350;85,1399;0
HockertyShirts;StateMissing;state;416;53,4832;92,1347;89,0580;96,0405;0
HockertyShirts;TransitionDestinationExchange;state;416;72,6971;73,3579;68,5287;77,6635;0
HockertyShirts;TransitionMissing;state;416;57,4087;82,8271;79,5150;85,9829;0
HockertyShirts;ActionExchange;transition;416;99,0433;94,4694;91,3908;96,3554;0
HockertyShirts;StateMissing;transition;416;57,2692;98,6361;97,7188;99,8515;0
HockertyShirts;TransitionDestinationExchange;transition;416;89,6106;89,8069;86,2480;92,1711;0
HockertyShirts;TransitionMissing;transition;416;65,1587;93,8498;91,4424;95,4458;0
SVM;ActionExchange;pair;12;9,6667;98,0808;93,9133;100,0000;0
SVM;StateMissing;pair;12;5,1667;97,2917;93,7192;100,0000;0
SVM;TransitionDestinationExchange;pair;12;7,9167;96,2533;90,0525;100,0000;0
SVM;TransitionMissing;pair;12;6,8333;96,4017;90,8467;100,0000;0
SVM;ActionExchange;state;12;9,5000;96,6917;90,2100;98,0808;0
SVM;StateMissing;state;12;5,0833;96,1008;89,5525;97,2917;0
SVM;TransitionDestinationExchange;state;12;7,5833;93,3858;85,2908;96,7433;0
SVM;TransitionMissing;state;12;6,6667;94,5500;85,2917;96,4017;0
SVM;ActionExchange;transition;12;9,5000;96,6917;93,9133;99,1225;0
SVM;StateMissing;transition;12;5,0833;96,1008;93,7192;98,9583;0
SVM;TransitionDestinationExchange;transition;12;7,6667;93,9808;90,0525;98,5292;0
SVM;TransitionMissing;transition;12;6,6667;94,5500;90,8467;98,4850;0
StudentAttendanceSystem;ActionExchange;pair;2664;93,3450;84,8776;79,3301;89,3926;0
StudentAttendanceSystem;StateMissing;pair;2664;19,0514;86,9211;80,5733;92,8562;0
StudentAttendanceSystem;TransitionDestinationExchange;pair;2664;63,2541;79,8483;73,5144;85,3296;0
StudentAttendanceSystem;TransitionMissing;pair;2664;32,6847;77,0750;71,0500;82,6668;0
StudentAttendanceSystem;ActionExchange;state;2664;58,8585;54,0498;45,4977;60,7358;0
StudentAttendanceSystem;StateMissing;state;2664;12,5796;57,5716;49,7898;64,3822;0
StudentAttendanceSystem;TransitionDestinationExchange;state;2664;37,0293;47,2323;39,4443;53,3284;0
