SPL Name;Coverage Type;Operator;Products;Killed sum;Executed Transitions sum;Pooled Efficiency (killed/transition);Mean per-product Efficiency;Total Mutants sum;Equivalent sum;Pooled Mutation Score(%)
BankAccountv2;family-baseline;ActionExchange;498;41862;17388;2,4075;2,3231;45465;0;92,0752
BankAccountv2;family-baseline;StateMissing;498;6981;17388;0,4015;0,3963;7473;0;93,4163
BankAccountv2;family-baseline;TransitionDestinationExchange;498;19737;17388;1,1351;1,1047;44217;22518;90,9581
BankAccountv2;family-baseline;TransitionMissing;498;10818;17388;0,6222;0,6144;12132;0;89,1691
BankAccountv2;pair;ActionExchange;498;45465;126700;0,3588;0,3876;45465;0;100,0000
BankAccountv2;pair;StateMissing;498;7473;126700;0,0590;0,0712;7473;0;100,0000
BankAccountv2;pair;TransitionDestinationExchange;498;21699;126700;0,1713;0,1927;44217;22518;100,0000
BankAccountv2;pair;TransitionMissing;498;12132;126700;0,0958;0,1141;12132;0;100,0000
BankAccountv2;state;ActionExchange;498;37485;11346;3,3038;3,2013;45465;0;82,4480
BankAccountv2;state;StateMissing;498;7473;11346;0,6586;0,6632;7473;0;100,0000
BankAccountv2;state;TransitionDestinationExchange;498;20379;11346;1,7961;1,7550;44217;22518;93,9168
BankAccountv2;state;TransitionMissing;498;10374;11346;0,9143;0,9147;12132;0;85,5094
BankAccountv2;transition;ActionExchange;498;45465;16074;2,8285;2,7578;45465;0;100,0000
BankAccountv2;transition;StateMissing;498;7473;16074;0,4649;0,4745;7473;0;100,0000
BankAccountv2;transition;TransitionDestinationExchange;498;21699;16074;1,3499;1,3404;44217;22518;100,0000
BankAccountv2;transition;TransitionMissing;498;12132;16074;0,7548;0,7670;12132;0;100,0000
Elevator;family-baseline;ActionExchange;42;1454;652;2,2301;2,2667;3176;0;45,7809
Elevator;family-baseline;StateMissing;42;272;652;0,4172;0,4238;330;0;82,4242
Elevator;family-baseline;TransitionDestinationExchange;42;461;652;0,7071;0,6945;3074;228;16,1982
Elevator;family-baseline;TransitionMissing;42;340;652;0,5215;0,5288;926;0;36,7171
Elevator;pair;ActionExchange;42;3176;5684;0,5588;0,5788;3176;0;100,0000
Elevator;pair;StateMissing;42;330;5684;0,0581;0,0614;330;0;100,0000
Elevator;pair;TransitionDestinationExchange;42;2846;5684;0,5007;0,5138;3074;228;100,0000
Elevator;pair;TransitionMissing;42;926;5684;0,1629;0,1755;926;0;100,0000
Elevator;state;ActionExchange;42;1568;366;4,2842;4,2755;3176;0;49,3703
Elevator;state;StateMissing;42;330;366;0,9016;0,9071;330;0;100,0000
Elevator;state;TransitionDestinationExchange;42;744;366;2,0328;1,9371;3074;228;26,1420
Elevator;state;TransitionMissing;42;366;366;1,0000;1,0000;926;0;39,5248
Elevator;transition;ActionExchange;42;3176;1716;1,8508;1,8600;3176;0;100,0000
Elevator;transition;StateMissing;42;330;1716;0,1923;0,1960;330;0;100,0000
Elevator;transition;TransitionDestinationExchange;42;2050;1716;1,1946;1,2040;3074;228;72,0309
Elevator;transition;TransitionMissing;42;926;1716;0,5396;0,5493;926;0;100,0000
HockertyShirts;family-baseline;ActionExchange;416;0;0;0,0000;0,0000;43725;0;0,0000
HockertyShirts;family-baseline;StateMissing;416;0;0;0,0000;0,0000;24153;0;0,0000
HockertyShirts;family-baseline;TransitionDestinationExchange;416;0;0;0,0000;0,0000;43725;2087;0,0000
HockertyShirts;family-baseline;TransitionMissing;416;0;0;0,0000;0,0000;28895;0;0,0000
HockertyShirts;pair;ActionExchange;416;43725;220822;0,1980;0,2084;43725;0;100,0000
HockertyShirts;pair;StateMissing;416;24153;220822;0,1094;0,1213;24153;0;100,0000
HockertyShirts;pair;TransitionDestinationExchange;416;41638;220822;0,1886;0,1996;43725;2087;100,0000
HockertyShirts;pair;TransitionMissing;416;28895;220822;0,1309;0,1436;28895;0;100,0000
HockertyShirts;state;ActionExchange;416;37704;47674;0,7909;0,7974;43725;0;86,2298
HockertyShirts;state;StateMissing;416;24153;47674;0,5066;0,5125;24153;0;100,0000
HockertyShirts;state;TransitionDestinationExchange;416;32279;47674;0,6771;0,6818;43725;2087;77,5229
HockertyShirts;state;TransitionMissing;416;25498;47674;0,5348;0,5395;28895;0;88,2436
HockertyShirts;transition;ActionExchange;416;43725;167028;0,2618;0,2653;43725;0;100,0000
HockertyShirts;transition;StateMissing;416;24153;167028;0,1446;0,1511;24153;0;100,0000
HockertyShirts;transition;TransitionDestinationExchange;416;40845;167028;0,2445;0,2507;43725;2087;98,0955
HockertyShirts;transition;TransitionMissing;416;28895;167028;0,1730;0,1811;28895;0;100,0000
SVM;family-baseline;ActionExchange;12;69;82;0,8415;0,4108;120;0;57,5000
SVM;family-baseline;StateMissing;12;41;82;0,5000;0,2550;64;0;64,0625
SVM;family-baseline;TransitionDestinationExchange;12;60;82;0,7317;0,3558;120;18;58,8235
SVM;family-baseline;TransitionMissing;12;52;82;0,6341;0,3192;86;0;60,4651
SVM;pair;ActionExchange;12;120;121;0,9917;0,9775;120;0;100,0000
SVM;pair;StateMissing;12;64;121;0,5289;0,5508;64;0;100,0000
SVM;pair;TransitionDestinationExchange;12;102;121;0,8430;0,8167;120;18;100,0000
SVM;pair;TransitionMissing;12;86;121;0,7107;0,7400;86;0;100,0000
SVM;state;ActionExchange;12;108;93;1,1613;1,1542;120;0;90,0000
SVM;state;StateMissing;12;64;93;0,6882;0,7567;64;0;100,0000
SVM;state;TransitionDestinationExchange;12;78;93;0,8387;0,8175;120;18;76,4706
SVM;state;TransitionMissing;12;74;93;0,7957;0,8483;86;0;86,0465
SVM;transition;ActionExchange;12;120;109;1,1009;1,1042;120;0;100,0000
SVM;transition;StateMissing;12;64;109;0,5872;0,6275;64;0;100,0000
SVM;transition;TransitionDestinationExchange;12;102;109;0,9358;0,9200;120;18;100,0000
SVM;transition;TransitionMissing;12;86;109;0,7890;0,8408;86;0;100,0000
StudentAttendanceSystem;family-baseline;ActionExchange;2664;222787;196698;1,1326;1,1142;294503;0;75,6485
StudentAttendanceSystem;family-baseline;StateMissing;2664;51284;196698;0,2607;0,2587;58666;0;87,4169
StudentAttendanceSystem;family-baseline;TransitionDestinationExchange;2664;134739;196698;0,6850;0,6753;284588;71575;63,2539
StudentAttendanceSystem;family-baseline;TransitionMissing;2664;71334;196698;0,3627;0,3588;113981;0;62,5841
StudentAttendanceSystem;pair;ActionExchange;2664;294503;570761;0,5160;0,5181;294503;0;100,0000
StudentAttendanceSystem;pair;StateMissing;2664;58666;570761;0,1028;0,1067;58666;0;100,0000
StudentAttendanceSystem;pair;TransitionDestinationExchange;2664;213013;570761;0,3732;0,3747;284588;71575;100,0000
StudentAttendanceSystem;pair;TransitionMissing;2664;113981;570761;0,1997;0,2041;113981;0;100,0000
StudentAttendanceSystem;state;ActionExchange;2664;249350;133523;1,8675;1,8518;294503;0;84,6681
StudentAttendanceSystem;state;StateMissing;2664;58666;133523;0,4394;0,4473;58666;0;100,0000
StudentAttendanceSystem;state;TransitionDestinationExchange;2664;156129;133523;1,1693;1,1627;284588;71575;73,2955
StudentAttendanceSystem;state;TransitionMissing;2664;80557;133523;0,6033;0,6112;113981;0;70,6758
StudentAttendanceSystem;transition;ActionExchange;2664;294503;243930;1,2073;1,2023;294503;0;100,0000
StudentAttendanceSystem;transition;StateMissing;2664;58666;243930;0,2405;0,2458;58666;0;100,0000
StudentAttendanceSystem;transition;TransitionDestinationExchange;2664;211709;243930;0,8679;0,8630;284588;71575;99,3878
StudentAttendanceSystem;transition;TransitionMissing;2664;113981;243930;0,4673;0,4721;113981;0;100,0000
Syngovia;family-baseline;ActionExchange;400;0;0;0,0000;0,0000;747586;0;0,0000
Syngovia;family-baseline;StateMissing;400;0;0;0,0000;0,0000;27328;0;0,0000
Syngovia;family-baseline;TransitionDestinationExchange;400;0;0;0,0000;0,0000;476971;201923;0,0000
Syngovia;family-baseline;TransitionMissing;400;0;0;0,0000;0,0000;103904;0;0,0000
Syngovia;pair;ActionExchange;400;747586;1645421;0,4543;0,4646;747586;0;100,0000
Syngovia;pair;StateMissing;400;27328;1645421;0,0166;0,0169;27328;0;100,0000
Syngovia;pair;TransitionDestinationExchange;400;275048;1645421;0,1672;0,1718;476971;201923;100,0000
Syngovia;pair;TransitionMissing;400;103904;1645421;0,0631;0,0634;103904;0;100,0000
Syngovia;state;ActionExchange;400;332266;78204;4,2487;4,3480;747586;0;44,4452
Syngovia;state;StateMissing;400;27328;78204;0,3494;0,3557;27328;0;100,0000
Syngovia;state;TransitionDestinationExchange;400;113341;78204;1,4493;1,4823;476971;201923;41,2077
Syngovia;state;TransitionMissing;400;37625;78204;0,4811;0,4906;103904;0;36,2113
Syngovia;transition;ActionExchange;400;747586;571453;1,3082;1,3559;747586;0;100,0000
Syngovia;transition;StateMissing;400;27328;571453;0,0478;0,0503;27328;0;100,0000
Syngovia;transition;TransitionDestinationExchange;400;254036;571453;0,4445;0,4594;476971;201923;92,3606
Syngovia;transition;TransitionMissing;400;103904;571453;0,1818;0,1887;103904;0;100,0000
Tesla;family-baseline;ActionExchange;400;0;0;0,0000;0,0000;27308;0;0,0000
Tesla;family-baseline;StateMissing;400;0;0;0,0000;0,0000;11360;0;0,0000
Tesla;family-baseline;TransitionDestinationExchange;400;0;0;0,0000;0,0000;27308;3583;0,0000
Tesla;family-baseline;TransitionMissing;400;0;0;0,0000;0,0000;15370;0;0,0000
Tesla;pair;ActionExchange;400;27308;126171;0,2164;0,2715;27308;0;100,0000
Tesla;pair;StateMissing;400;11360;126171;0,0900;0,1452;11360;0;100,0000
Tesla;pair;TransitionDestinationExchange;400;23725;126171;0,1880;0,2463;27308;3583;100,0000
Tesla;pair;TransitionMissing;400;15370;126171;0,1218;0,1833;15370;0;100,0000
