spl;coverage;productId;runID;configCount;suiteSize;totalTransitions;coveragePct;genTimeMs;peakMemoryMb
SVM;state;1;1;1;1;6;1,0000;1,4659;0,0000
SVM;transition;1;1;1;1;6;1,0000;3,4953;1,0201
SVM;pair;1;1;1;1;8;1,0000;2,8504;1,0201
SVM;state;2;1;1;1;10;1,0000;0,6322;1,0203
SVM;transition;2;1;1;1;9;1,0000;1,0205;1,0203
SVM;pair;2;1;1;2;12;1,0000;1,5133;1,0203
SVM;state;3;1;1;1;6;1,0000;0,3314;1,0203
SVM;transition;3;1;1;1;7;1,0000;0,6498;1,0201
SVM;pair;3;1;1;1;8;1,0000;0,7590;1,0201
SVM;state;4;1;1;1;6;1,0000;0,2445;1,0201
SVM;transition;4;1;1;1;7;1,0000;0,5045;1,0201
SVM;pair;4;1;1;1;8;1,0000;0,6039;1,0201
SVM;state;5;1;1;1;6;1,0000;0,6125;1,0201
SVM;transition;5;1;1;1;6;1,0000;0,4044;1,0201
SVM;pair;5;1;1;1;8;1,0000;0,5574;1,0201
SVM;state;6;1;1;1;6;1,0000;3,5907;1,0201
SVM;transition;6;1;1;1;6;1,0000;0,3610;1,0201
SVM;pair;6;1;1;1;8;1,0000;0,4900;1,0201
SVM;state;7;1;1;1;10;1,0000;0,1762;1,0201
SVM;transition;7;1;1;1;9;1,0000;3,3335;1,0201
SVM;pair;7;1;1;2;12;1,0000;0,6693;1,0201
SVM;state;8;1;1;1;3;1,0000;0,0999;1,0201
SVM;transition;8;1;1;1;4;1,0000;0,2433;1,0201
SVM;pair;8;1;1;1;5;1,0000;0,3077;1,0201
SVM;state;9;1;1;1;10;1,0000;0,1516;1,0201
SVM;transition;9;1;1;1;8;1,0000;0,3294;1,0201
SVM;pair;9;1;1;1;11;1,0000;0,5121;1,0201
SVM;state;10;1;1;1;17;1,0000;0,4301;1,0201
SVM;transition;10;1;1;1;11;1,0000;0,3940;1,0201
SVM;pair;10;1;1;3;16;1,0000;0,5090;1,0201
SVM;state;11;1;1;1;10;1,0000;0,1409;1,0201
SVM;transition;11;1;1;1;9;1,0000;0,2801;1,0201
SVM;pair;11;1;1;2;12;1,0000;0,3616;1,0201
SVM;state;12;1;1;1;3;1,0000;0,0594;1,0201
SVM;transition;12;1;1;1;4;1,0000;0,1492;1,0201
SVM;pair;12;1;1;1;5;1,0000;0,1733;1,0201
