RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
1;SVM;state;1;6;8;1;10;1;1,73;1,1;0;1,07;16,23;16,23;4,3;3,9
1;SVM;transition;1;6;8;1;8;1;0,56;7,22;0;0,28;17,23;17,23;8,14;8,05
1;SVM;pair;1;6;8;1;11;1;0,47;0,92;0,91;0,19;17,23;17,23;3,73;2,49
1;SVM;state;2;7;7;1;6;1;0,48;0,63;0;0,08;17,23;17,23;1,24;1,18
1;SVM;transition;2;7;7;1;7;1;0,33;0,77;0;0,08;17,23;17,23;1,23;1,18
1;SVM;pair;2;7;7;1;8;1;0,36;0,16;0,55;0,08;17,23;17,23;1,46;1,14
1;SVM;state;3;4;4;1;3;1;0,21;0,2;0;0,03;17,23;17,23;0,47;0,44
1;SVM;transition;3;4;4;1;4;1;0,19;0,37;0;0,03;18,23;18,23;0,63;0,6
1;SVM;pair;3;4;4;1;5;1;0,15;0,1;0,29;0,03;18,23;18,23;0,73;0,56
1;SVM;state;4;5;6;1;6;1;0,17;0,17;0;0,04;18,23;18,23;0,4;0,37
1;SVM;transition;4;5;6;1;6;1;0,15;0,39;0;0,04;18,23;18,23;0,61;0,58
1;SVM;pair;4;5;6;1;8;1;0,15;0,11;0,4;0,05;18,23;18,23;0,9;0,71
1;SVM;state;5;7;7;1;6;1;0,16;0,15;0;0,03;18,23;18,23;0,37;0,35
1;SVM;transition;5;7;7;1;7;1;0,14;0,37;0;0,04;18,23;18,23;0,57;0,55
1;SVM;pair;5;7;7;1;8;1;0,14;0,09;0,34;0,04;18,23;18,23;0,76;0,6
1;SVM;state;6;8;9;1;10;1;0,16;0,19;0;0,05;19,23;19,23;0,42;0,4
1;SVM;transition;6;8;9;1;9;1;0,14;0,47;0;0,08;19,23;19,23;0,72;0,69
1;SVM;pair;6;8;9;2;12;1;0,16;0,1;0,38;0,04;19,23;19,23;0,86;0,68
1;SVM;state;7;5;6;1;6;1;0,26;0,12;0;0,03;19,23;19,23;0,43;0,41
1;SVM;transition;7;5;6;1;6;1;0,1;0,27;0;0,03;19,23;19,23;0,43;0,4
1;SVM;pair;7;5;6;1;8;1;0,11;0,07;0,25;0,07;19,23;19,23;0,68;0,5
1;SVM;state;8;8;9;1;10;1;0,12;0,14;0;0,04;19,23;19,23;0,33;0,3
1;SVM;transition;8;8;9;1;9;1;0,12;0,37;0;0,26;19,23;20,23;0,79;0,75
1;SVM;pair;8;8;9;2;12;1;0,3;0,08;0,95;0,27;20,23;20,23;1,75;1,6
1;SVM;state;9;4;4;1;3;1;3,69;0,25;0;0,03;20,23;20,23;3,99;3,96
1;SVM;transition;9;4;4;1;4;1;0,08;0,17;0;0,02;20,23;20,23;0,29;0,26
1;SVM;pair;9;4;4;1;5;1;0,05;0,03;0,14;0,02;20,23;20,23;0,34;0,24
1;SVM;state;10;8;9;1;10;1;0,07;0,08;0;0,04;20,23;20,23;0,21;0,19
1;SVM;transition;10;8;9;1;9;1;0,07;0,22;0;0,04;20,23;20,23;0,37;0,33
1;SVM;pair;10;8;9;2;12;1;0,06;0,04;0,23;0,04;20,23;20,23;0,46;0,37
1;SVM;state;11;9;11;1;17;1;0,08;0,1;0;0,07;21,23;21,23;0,27;0,24
1;SVM;transition;11;9;11;1;11;1;0,05;0,25;0;0,08;21,23;21,23;0,41;0,38
1;SVM;pair;11;9;11;3;16;1;0,37;0,12;0,25;0,07;21,23;21,23;1,01;0,82
1;SVM;state;12;5;6;1;6;1;0,04;0,05;0;0,02;21,23;21,23;0,13;0,11
1;SVM;transition;12;5;6;1;6;1;0,03;0,13;0;0,02;21,23;21,23;0,21;0,18
1;SVM;pair;12;5;6;1;8;1;0,05;0,04;0,14;0,02;21,23;21,23;0,33;0,26
