RunID;SPL Name;FTS States;FTS Transitions;Family Test Cases;Family Total Actions;Generation Time(ms);Generation Peak Memory(MB);Wall Clock Time(ms);Termination Reason
1;BankAccountv2;26;44;16;56;160,29;12,18;160,29;completed
2;BankAccountv2;26;44;16;56;149,48;11,02;149,48;completed
3;BankAccountv2;26;44;16;56;135,97;12,37;135,97;completed
4;BankAccountv2;26;44;16;56;145,3;11,95;145,3;completed
5;BankAccountv2;26;44;16;56;195,63;12,2;195,63;completed
6;BankAccountv2;26;44;16;56;138,36;11,19;138,36;completed
7;BankAccountv2;26;44;16;56;95,42;11,34;95,42;completed
8;BankAccountv2;26;44;16;56;104,2;12,29;104,2;completed
9;BankAccountv2;26;44;16;56;201,06;12,2;201,06;completed
10;BankAccountv2;26;44;16;56;154,82;12,23;154,82;completed
11;BankAccountv2;26;44;16;56;144,23;12,32;144,23;completed
1;Elevator;14;49;9;33;203,39;21,43;203,39;completed
2;Elevator;14;49;9;33;236,58;22,3;236,58;completed
3;Elevator;14;49;9;33;296,62;22,35;296,62;completed
4;Elevator;14;49;9;33;346,82;22,08;346,82;completed
5;Elevator;14;49;9;33;292,71;21,43;292,71;completed
6;Elevator;14;49;9;33;272,86;24,4;272,86;completed
7;Elevator;14;49;9;33;320,39;16,63;320,39;completed
8;Elevator;14;49;9;33;319,12;21,97;319,12;completed
9;Elevator;14;49;9;33;272,82;22,42;272,82;completed
10;Elevator;14;49;9;33;239,04;21,4;239,04;completed
11;Elevator;14;49;9;33;235,4;20,99;235,4;completed
1;HockertyShirts;61;303;0;0;0,04;9,98;0,04;skipped-samples-mode
2;HockertyShirts;61;303;0;0;0,04;11,01;0,04;skipped-samples-mode
3;HockertyShirts;61;303;0;0;0,05;11;0,05;skipped-samples-mode
4;HockertyShirts;61;303;0;0;0,04;10,21;0,04;skipped-samples-mode
5;HockertyShirts;61;303;0;0;0,03;10;0,03;skipped-samples-mode
6;HockertyShirts;61;303;0;0;0,04;11,24;0,04;skipped-samples-mode
7;HockertyShirts;61;303;0;0;0,04;11,39;0,04;skipped-samples-mode
8;HockertyShirts;61;303;0;0;0,03;10,32;0,03;skipped-samples-mode
9;HockertyShirts;61;303;0;0;0,03;10,69;0,03;skipped-samples-mode
10;HockertyShirts;61;303;0;0;0,04;11,52;0,04;skipped-samples-mode
11;HockertyShirts;61;303;0;0;0,04;10,35;0,04;skipped-samples-mode
1;SVM;9;13;3;18;138,85;11,01;138,85;completed
2;SVM;9;13;3;18;139,96;11,25;139,96;completed
3;SVM;9;13;3;18;155,92;11,44;155,92;completed
4;SVM;9;13;3;18;124,65;11,53;124,65;completed
5;SVM;9;13;3;18;100,23;11,48;100,23;completed
6;SVM;9;13;3;18;145,24;11,17;145,24;completed
7;SVM;9;13;3;18;146,46;10,98;146,46;completed
8;SVM;9;13;3;18;159,67;11,58;159,67;completed
9;SVM;9;13;3;18;125,19;10,98;125,19;completed
10;SVM;9;13;3;18;135,98;11,44;135,98;completed
11;SVM;9;13;3;18;337,87;11,1;337,87;completed
1;StudentAttendanceSystem;35;76;19;105;199,68;14,4;199,68;completed
2;StudentAttendanceSystem;35;76;19;105;192,54;14,34;192,54;completed
3;StudentAttendanceSystem;35;76;19;105;213,48;16,42;213,48;completed
4;StudentAttendanceSystem;35;76;19;105;196,19;14,32;196,19;completed
5;StudentAttendanceSystem;35;76;19;105;146,06;14,11;146,06;completed
6;StudentAttendanceSystem;35;76;19;105;160,73;14,36;160,73;completed
7;StudentAttendanceSystem;35;76;19;105;179,98;14,43;179,98;completed
8;StudentAttendanceSystem;35;76;19;105;242,78;16,47;242,78;completed
9;StudentAttendanceSystem;35;76;19;105;189,87;14,29;189,87;completed
10;StudentAttendanceSystem;35;76;19;105;207,58;14,26;207,58;completed
11;StudentAttendanceSystem;35;76;19;105;177,21;14,41;177,21;completed
1;Syngovia;78;307;0;0;0,04;10,19;0,04;skipped-samples-mode
2;Syngovia;78;307;0;0;0,03;10,29;0,03;skipped-samples-mode
3;Syngovia;78;307;0;0;0,04;10,35;0,04;skipped-samples-mode
4;Syngovia;78;307;0;0;0,04;10,23;0,04;skipped-samples-mode
5;Syngovia;78;307;0;0;0,03;10,57;0,03;skipped-samples-mode
6;Syngovia;78;307;0;0;0,04;9,93;0,04;skipped-samples-mode
7;Syngovia;78;307;0;0;0,04;10,04;0,04;skipped-samples-mode
8;Syngovia;78;307;0;0;0,04;9,92;0,04;skipped-samples-mode
9;Syngovia;78;307;0;0;0,04;10,56;0,04;skipped-samples-mode
10;Syngovia;78;307;0;0;0,04;10,27;0,04;skipped-samples-mode
11;Syngovia;78;307;0;0;0,05;10,27;0,05;skipped-samples-mode
1;Tesla;41;147;0;0;0,04;6,74;0,04;skipped-samples-mode
2;Tesla;41;147;0;0;0,05;6,13;0,05;skipped-samples-mode
3;Tesla;41;147;0;0;0,04;7;0,04;skipped-samples-mode
4;Tesla;41;147;0;0;0,04;7,09;0,04;skipped-samples-mode
5;Tesla;41;147;0;0;0,04;7,35;0,04;skipped-samples-mode
6;Tesla;41;147;0;0;0,1;7,35;0,1;skipped-samples-mode
7;Tesla;41;147;0;0;0,04;7,33;0,04;skipped-samples-mode
8;Tesla;41;147;0;0;0,04;7,28;0,04;skipped-samples-mode
9;Tesla;41;147;0;0;0,04;7,27;0,04;skipped-samples-mode
10;Tesla;41;147;0;0;0,03;7,5;0,03;skipped-samples-mode
11;Tesla;41;147;0;0;0,03;7,02;0,03;skipped-samples-mode
1;eMail;11;24;6;20;172,99;11,29;172,99;completed
2;eMail;11;24;6;20;131,79;11,41;131,79;completed
3;eMail;11;24;6;20;120,58;11,28;120,58;completed
4;eMail;11;24;6;20;120,87;11,02;120,87;completed
5;eMail;11;24;6;20;138,14;11,31;138,14;completed
6;eMail;11;24;6;20;153,6;11,39;153,6;completed
7;eMail;11;24;6;20;142,33;11,39;142,33;completed
8;eMail;11;24;6;20;154,55;11,21;154,55;completed
9;eMail;11;24;6;20;180,16;11,74;180,16;completed
10;eMail;11;24;6;20;144,39;11,42;144,39;completed
11;eMail;11;24;6;20;112,57;11,03;112,57;completed
