RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
7;BankAccountv2;state;1;18;30;9;29;100;5,75;4,38;0;2,64;12,34;12,34;15,72;12,78
7;BankAccountv2;transition;1;18;30;12;30;100;1,85;9,25;0;0,84;12,34;13,34;13,26;11,94
7;BankAccountv2;pair;1;18;30;127;368;100;1,38;3,29;15,5;3,5;14,34;15,34;29,05;23,67
7;BankAccountv2;state;2;19;27;7;26;100;0,99;1,08;0;0,23;15,34;15,34;3,29;2,3
7;BankAccountv2;transition;2;19;27;9;27;100;0,69;2,06;0;0,36;16,34;16,34;4,32;3,1
7;BankAccountv2;pair;2;19;27;77;293;100;0,66;0,47;6,29;1,64;17,34;18,34;11,92;9,07
7;BankAccountv2;state;3;9;12;3;11;100;0,5;0,36;0;0,19;18,34;18,34;1,81;1,04
7;BankAccountv2;transition;3;9;12;4;12;100;0,61;0,93;0;0,07;18,34;18,34;2,52;1,61
7;BankAccountv2;pair;3;9;12;11;39;100;0,4;0,1;0,74;0,23;18,34;19,34;3;1,47
7;BankAccountv2;state;4;18;28;7;25;100;0,34;0,5;0;0,15;19,34;19,34;1,81;0,98
7;BankAccountv2;transition;4;18;28;10;28;100;0,47;1,14;0;0,21;20,34;20,34;2,65;1,82
7;BankAccountv2;pair;4;18;28;89;319;100;0,5;0,32;5,45;1,04;21,34;22,34;9,45;7,31
7;BankAccountv2;state;5;13;18;6;19;100;0,57;0,49;0;0,1;22,34;22,34;1,82;1,16
7;BankAccountv2;transition;5;13;18;6;18;100;0,46;0,87;0;0,17;22,34;22,34;2,55;1,5
7;BankAccountv2;pair;5;13;18;33;106;100;0,5;0,24;1,62;0,35;23,34;23,34;4,21;2,71
7;BankAccountv2;state;6;14;24;7;21;100;0,35;0,52;0;0,15;23,34;23,34;1,68;1,02
7;BankAccountv2;transition;6;14;24;9;24;100;0,33;8,48;0;0,15;26,44;5,44;9,57;8,96
7;BankAccountv2;pair;6;14;24;79;234;100;0,28;0,39;3,23;0,81;6,44;6,44;6,41;4,71
7;BankAccountv2;state;7;16;27;8;26;100;0,45;0,54;0;0,11;6,44;6,44;1,72;1,1
7;BankAccountv2;transition;7;16;27;10;27;100;0,25;0,91;0;0,11;7,44;7,44;1,81;1,28
7;BankAccountv2;pair;7;16;27;91;286;100;0,26;0,26;3,58;0,63;8,44;8,44;6,11;4,72
7;BankAccountv2;state;8;14;20;7;21;100;0,45;0,39;0;0,06;9,44;9,44;1,2;0,89
7;BankAccountv2;transition;8;14;20;7;20;100;0,34;0,77;0;0,09;9,44;9,44;1,62;1,2
7;BankAccountv2;pair;8;14;20;60;182;100;0,28;0,21;1,91;0,42;10,44;10,44;3,83;2,81
7;BankAccountv2;state;9;14;23;6;20;100;0,22;0,29;0;0,09;11,44;11,44;0,88;0,59
7;BankAccountv2;transition;9;14;23;9;23;100;0,27;0,73;0;0,07;11,44;11,44;1,38;1,06
7;BankAccountv2;pair;9;14;23;61;186;100;0,21;0,2;1,84;0,34;12,44;12,44;3,47;2,58
7;BankAccountv2;state;10;19;30;7;25;100;0,36;0,4;0;0,07;12,44;12,44;1,13;0,82
7;BankAccountv2;transition;10;19;30;11;30;100;0,35;0,85;0;0,14;13,44;13,44;1,74;1,34
7;BankAccountv2;pair;10;19;30;112;379;100;0,45;0,28;3,87;0,78;14,44;15,44;6,79;5,38
7;BankAccountv2;state;11;16;25;7;23;100;0,44;0,57;0;0,1;15,44;15,44;1,64;1,11
7;BankAccountv2;transition;11;16;25;10;25;100;0,35;0,81;0;0,12;16,44;16,44;1,78;1,28
7;BankAccountv2;pair;11;16;25;89;272;100;0,43;0,35;3,19;0,59;17,44;17,44;6,08;4,56
7;BankAccountv2;state;12;17;29;9;28;100;0,42;0,39;0;0,13;18,44;18,44;1,25;0,94
7;BankAccountv2;transition;12;17;29;11;29;100;0,38;0,66;0;0,1;18,44;18,44;1,61;1,14
7;BankAccountv2;pair;12;17;29;119;353;100;0,34;0,3;4,67;0,98;20,44;20,44;7,81;6,3
