RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;BankAccountv2;1;state;TransitionMissing;30;0;29;60;100;0;9;16;18;19;24;30;53,33;60;63,33;80
1;BankAccountv2;1;state;ActionExchange;143;0;29;60;100;0;62;84;93;102;118;43,36;58,74;65,03;71,33;82,52
1;BankAccountv2;1;state;StateMissing;17;0;29;60;100;0;5;10;11;12;15;29,41;58,82;64,71;70,59;88,24
1;BankAccountv2;1;state;TransitionDestinationExchange;139;76;29;60;100;0;28;40;46;50;60;44,44;63,49;73,02;79,37;95,24
1;BankAccountv2;1;transition;TransitionMissing;30;0;39;60;100;0;11;18;20;22;26;36,67;60;66,67;73,33;86,67
1;BankAccountv2;1;transition;ActionExchange;143;0;39;60;100;0;62;93;103;111;127;43,36;65,03;72,03;77,62;88,81
1;BankAccountv2;1;transition;StateMissing;17;0;39;60;100;0;7;11;13;13;16;41,18;64,71;76,47;76,47;94,12
1;BankAccountv2;1;transition;TransitionDestinationExchange;139;76;39;60;100;0;29;46;50;54;62;46,03;73,02;79,37;85,71;98,41
1;BankAccountv2;1;pair;TransitionMissing;30;0;368;60;100;0;28;29;30;30;30;93,33;96,67;100;100;100
1;BankAccountv2;1;pair;ActionExchange;143;0;368;60;100;0;135;137;143;143;143;94,41;95,8;100;100;100
1;BankAccountv2;1;pair;StateMissing;17;0;368;60;100;0;16;17;17;17;17;94,12;100;100;100;100
1;BankAccountv2;1;pair;TransitionDestinationExchange;139;76;368;60;100;0;62;63;63;63;63;98,41;100;100;100;100
1;BankAccountv2;2;state;TransitionMissing;29;0;28;58;100;0;9;14;17;19;24;31,03;48,28;58,62;65,52;82,76
1;BankAccountv2;2;state;ActionExchange;137;0;28;58;100;0;60;81;89;99;116;43,8;59,12;64,96;72,26;84,67
1;BankAccountv2;2;state;StateMissing;16;0;28;58;100;0;5;9;11;12;15;31,25;56,25;68,75;75;93,75
1;BankAccountv2;2;state;TransitionDestinationExchange;134;70;28;58;100;0;27;39;43;49;59;42,19;60,94;67,19;76,56;92,19
1;BankAccountv2;2;transition;TransitionMissing;29;0;39;58;100;0;11;17;19;21;26;37,93;58,62;65,52;72,41;89,66
1;BankAccountv2;2;transition;ActionExchange;137;0;39;58;100;0;62;89;99;106;125;45,26;64,96;72,26;77,37;91,24
