RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
8;Elevator;state;1;12;30;3;13;100;8,39;6,18;0;3,06;21,97;22,97;21,6;17,63
8;Elevator;transition;1;12;30;9;24;100;3,21;12,64;0;1,35;22,97;22,97;19,43;17,2
8;Elevator;pair;1;12;30;55;185;100;2,12;4,36;12,19;5,12;23,97;24,97;32,39;23,79
8;Elevator;state;2;10;24;3;10;100;1,06;1,1;0;0,24;24,97;24,97;3,97;2,4
8;Elevator;transition;2;10;24;10;20;100;0,83;2,37;0;0,58;25,97;25,97;5,17;3,78
8;Elevator;pair;2;10;24;37;123;100;0,87;0,7;4,83;1,46;25,97;26,97;10,97;7,86
8;Elevator;state;3;12;31;3;13;100;0,93;1,14;0;0,29;26,97;26,97;3,69;2,37
8;Elevator;transition;3;12;31;9;25;100;0,74;1,83;0;0,52;27,97;27,97;4,36;3,08
8;Elevator;pair;3;12;31;67;223;100;0,79;0,76;8,37;2,96;28,97;29,97;15,97;12,87
8;Elevator;state;4;7;21;3;7;100;0,9;0,71;0;0,11;29,97;29,97;2,78;1,72
8;Elevator;transition;4;7;21;10;19;100;0,65;1,72;0;0,39;29,97;29,97;3,91;2,76
8;Elevator;pair;4;7;21;33;96;100;0,72;0,57;3,06;0,98;30,97;30,97;7,77;5,33
8;Elevator;state;5;10;33;3;9;100;0,84;0,91;0;0,15;30,97;30,97;2,58;1,9
8;Elevator;transition;5;10;33;15;28;100;0,85;1,99;0;0,42;31,97;31,97;4,18;3,26
8;Elevator;pair;5;10;33;68;214;100;0,79;0,85;6,05;1,67;32,97;33,97;11,83;9,35
8;Elevator;state;6;7;20;3;7;100;0,66;0,75;0;0,17;33,97;33,97;2,27;1,58
8;Elevator;transition;6;7;20;10;18;100;0,64;1,42;0;0,26;33,97;33,97;3,02;2,32
8;Elevator;pair;6;7;20;27;75;100;0,71;0,41;2,33;0,48;34,97;34,97;5,61;3,94
8;Elevator;state;7;10;24;3;10;100;0,77;0,89;0;0,07;35,97;35,97;2,25;1,73
8;Elevator;transition;7;10;24;10;20;100;0,68;1,66;0;0,24;35,97;35,97;3,26;2,58
8;Elevator;pair;7;10;24;37;123;100;0,64;0,65;3,58;0,92;36,97;36,97;8,04;5,79
8;Elevator;state;8;8;23;3;7;100;0,72;0,89;0;0,06;36,97;36,97;2,22;1,66
8;Elevator;transition;8;8;23;12;20;100;0,7;1,47;0;0,19;37,97;37,97;3,11;2,36
8;Elevator;pair;8;8;23;31;89;100;0,77;0,5;2,69;0,53;37,97;38,97;6,55;4,5
8;Elevator;state;9;8;25;3;7;100;0,82;0,75;0;0,06;38,97;38,97;2,21;1,64
8;Elevator;transition;9;8;25;13;22;100;0,71;1,79;0;0,25;38,97;38,97;3,41;2,74
8;Elevator;pair;9;8;25;37;110;100;0,82;0,63;2,72;0,85;39,97;40,97;7,7;5,02
8;Elevator;state;10;10;25;3;10;100;0,85;0,88;0;0,07;40,97;40,97;2,49;1,8
8;Elevator;transition;10;10;25;9;21;100;0,73;1,91;0;0,25;40,97;40,97;3,71;2,88
8;Elevator;pair;10;10;25;42;149;100;0,93;0,54;4,38;1,12;41,97;42,97;9,67;6,97
8;Elevator;state;11;10;31;3;9;100;1,19;0,97;0;0,22;42,97;42,97;3,16;2,37
8;Elevator;transition;11;10;31;14;26;100;0,85;2,36;0;0,48;42,97;42,97;4,63;3,69
8;Elevator;pair;11;10;31;55;175;100;1,05;1,02;5,75;1,56;43,97;44,97;12,02;9,38
8;Elevator;state;12;12;30;3;13;100;0,93;1;0;0,16;44,97;44,97;2,85;2,09
8;Elevator;transition;12;12;30;9;24;100;0,94;1,99;0;0,29;45,97;45,97;3,91;3,22
8;Elevator;pair;12;12;30;55;185;100;1,07;0,79;5,66;1,44;46,97;46,97;11,58;8,96
8;Elevator;state;13;8;23;3;7;100;0,84;0,9;0;0,09;47,97;47,97;2,94;1,83
8;Elevator;transition;13;8;23;12;20;100;0,79;1,58;0;0,23;47,97;47,97;3,27;2,59
8;Elevator;pair;13;8;23;31;89;100;0,55;0,43;2,38;0,62;48,97;48,97;5,79;3,98
8;Elevator;state;14;7;20;3;7;100;0,75;0,92;0;0,16;48,97;48,97;2,44;1,83
8;Elevator;transition;14;7;20;10;18;100;0,79;1,24;0;0,2;49,97;49,97;3,01;2,23
8;Elevator;pair;14;7;20;27;75;100;0,69;0,46;2,61;0,73;49,97;49,97;6,64;4,49
8;Elevator;state;15;10;31;3;9;100;0,94;1,34;0;0,16;50,97;50,97;3,25;2,45
8;Elevator;transition;15;10;31;14;26;100;0,78;1,61;0;0,43;50,97;50,97;3,63;2,82
8;Elevator;pair;15;10;31;56;177;100;0,9;0,79;5,03;1,2;51,97;52,97;10,38;7,92
8;Elevator;state;16;10;31;3;9;100;0,9;0,91;0;0,08;52,97;52,97;2,56;1,89
8;Elevator;transition;16;10;31;14;26;100;0,85;1,57;0;0,28;52,97;52,97;3,57;2,7
8;Elevator;pair;16;10;31;57;179;100;0,8;0,72;4,77;1,15;54,97;54,97;9,72;7,45
8;Elevator;state;17;7;20;3;7;100;0,67;0,87;0;0,06;54,97;54,97;2,22;1,6
8;Elevator;transition;17;7;20;10;18;100;0,73;1,51;0;0,21;55,97;55,97;3,18;2,45
8;Elevator;pair;17;7;20;27;75;100;0,69;0,56;2,79;0,64;55,97;55,97;7,15;4,69
8;Elevator;state;18;7;20;3;7;100;0,99;1,1;0;0,07;56,97;56,97;3,85;2,16
8;Elevator;transition;18;7;20;10;18;100;0,73;1,59;0;0,18;56,97;56,97;3,21;2,5
8;Elevator;pair;18;7;20;27;75;100;0,66;0,48;2,59;0,71;57,97;57,97;6,37;4,44
8;Elevator;state;19;10;33;3;9;100;1,07;1,02;0;0,12;57,97;57,97;2,87;2,21
8;Elevator;transition;19;10;33;15;28;100;0,7;1,7;0;0,36;58,97;58,97;3,57;2,76
8;Elevator;pair;19;10;33;67;212;100;0,71;0,93;6,07;1,49;59,97;59,97;12,04;9,21
8;Elevator;state;20;10;31;3;9;100;0,92;0,7;0;0,09;60,97;60,97;2,35;1,7
8;Elevator;transition;20;10;31;14;26;100;0,85;1,8;0;0,3;60,97;60,97;3,64;2,95
