RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%)
1;Elevator;1;state;TransitionMissing;24;0;13;11;54,17
1;Elevator;1;transition;TransitionMissing;24;0;24;0;100
1;Elevator;1;pair;TransitionMissing;24;0;24;0;100
1;Elevator;1;family-baseline;TransitionMissing;24;0;10;14;41,67
1;Elevator;1;state;ActionExchange;87;0;55;32;63,22
1;Elevator;1;transition;ActionExchange;87;0;87;0;100
1;Elevator;1;pair;ActionExchange;87;0;87;0;100
1;Elevator;1;family-baseline;ActionExchange;87;0;45;42;51,72
1;Elevator;1;state;StateMissing;11;0;11;0;100
1;Elevator;1;transition;StateMissing;11;0;11;0;100
1;Elevator;1;pair;StateMissing;11;0;11;0;100
1;Elevator;1;family-baseline;StateMissing;11;0;9;2;81,82
1;Elevator;1;state;TransitionDestinationExchange;99;2;44;53;45,36
1;Elevator;1;transition;TransitionDestinationExchange;99;2;83;14;85,57
1;Elevator;1;pair;TransitionDestinationExchange;99;2;97;0;100
1;Elevator;1;family-baseline;TransitionDestinationExchange;99;2;31;66;31,96
1;Elevator;2;state;TransitionMissing;23;0;9;14;39,13
1;Elevator;2;transition;TransitionMissing;23;0;23;0;100
1;Elevator;2;pair;TransitionMissing;23;0;23;0;100
1;Elevator;2;family-baseline;TransitionMissing;23;0;7;16;30,43
1;Elevator;2;state;ActionExchange;92;0;40;52;43,48
1;Elevator;2;transition;ActionExchange;92;0;92;0;100
1;Elevator;2;pair;ActionExchange;92;0;92;0;100
1;Elevator;2;family-baseline;ActionExchange;92;0;34;58;36,96
1;Elevator;2;state;StateMissing;8;0;8;0;100
1;Elevator;2;transition;StateMissing;8;0;8;0;100
1;Elevator;2;pair;StateMissing;8;0;8;0;100
1;Elevator;2;family-baseline;StateMissing;8;0;6;2;75
1;Elevator;2;state;TransitionDestinationExchange;82;6;18;58;23,68
1;Elevator;2;transition;TransitionDestinationExchange;82;6;51;25;67,11
1;Elevator;2;pair;TransitionDestinationExchange;82;6;76;0;100
1;Elevator;2;family-baseline;TransitionDestinationExchange;82;6;8;68;10,53
1;Elevator;3;state;TransitionMissing;26;0;9;17;34,62
1;Elevator;3;transition;TransitionMissing;26;0;26;0;100
1;Elevator;3;pair;TransitionMissing;26;0;26;0;100
1;Elevator;3;family-baseline;TransitionMissing;26;0;11;15;42,31
1;Elevator;3;state;ActionExchange;96;0;43;53;44,79
1;Elevator;3;transition;ActionExchange;96;0;96;0;100
1;Elevator;3;pair;ActionExchange;96;0;96;0;100
1;Elevator;3;family-baseline;ActionExchange;96;0;49;47;51,04
1;Elevator;3;state;StateMissing;9;0;9;0;100
1;Elevator;3;transition;StateMissing;9;0;9;0;100
1;Elevator;3;pair;StateMissing;9;0;9;0;100
1;Elevator;3;family-baseline;StateMissing;9;0;9;0;100
1;Elevator;3;state;TransitionDestinationExchange;99;10;19;70;21,35
1;Elevator;3;transition;TransitionDestinationExchange;99;10;57;32;64,04
1;Elevator;3;pair;TransitionDestinationExchange;99;10;89;0;100
1;Elevator;3;family-baseline;TransitionDestinationExchange;99;10;20;69;22,47
1;Elevator;4;state;TransitionMissing;20;0;10;10;50
1;Elevator;4;transition;TransitionMissing;20;0;20;0;100
1;Elevator;4;pair;TransitionMissing;20;0;20;0;100
1;Elevator;4;family-baseline;TransitionMissing;20;0;7;13;35
1;Elevator;4;state;ActionExchange;57;0;33;24;57,89
1;Elevator;4;transition;ActionExchange;57;0;57;0;100
1;Elevator;4;pair;ActionExchange;57;0;57;0;100
1;Elevator;4;family-baseline;ActionExchange;57;0;27;30;47,37
1;Elevator;4;state;StateMissing;9;0;9;0;100
1;Elevator;4;transition;StateMissing;9;0;9;0;100
1;Elevator;4;pair;StateMissing;9;0;9;0;100
1;Elevator;4;family-baseline;StateMissing;9;0;6;3;66,67
1;Elevator;4;state;TransitionDestinationExchange;65;2;25;38;39,68
1;Elevator;4;transition;TransitionDestinationExchange;65;2;55;8;87,3
1;Elevator;4;pair;TransitionDestinationExchange;65;2;63;0;100
1;Elevator;4;family-baseline;TransitionDestinationExchange;65;2;11;52;17,46
1;Elevator;5;state;TransitionMissing;22;0;9;13;40,91
1;Elevator;5;transition;TransitionMissing;22;0;22;0;100
1;Elevator;5;pair;TransitionMissing;22;0;22;0;100
1;Elevator;5;family-baseline;TransitionMissing;22;0;8;14;36,36
1;Elevator;5;state;ActionExchange;78;0;36;42;46,15
1;Elevator;5;transition;ActionExchange;78;0;78;0;100
1;Elevator;5;pair;ActionExchange;78;0;78;0;100
1;Elevator;5;family-baseline;ActionExchange;78;0;35;43;44,87
1;Elevator;5;state;StateMissing;8;0;8;0;100
1;Elevator;5;transition;StateMissing;8;0;8;0;100
1;Elevator;5;pair;StateMissing;8;0;8;0;100
1;Elevator;5;family-baseline;StateMissing;8;0;6;2;75
1;Elevator;5;state;TransitionDestinationExchange;79;4;18;57;24
1;Elevator;5;transition;TransitionDestinationExchange;79;4;47;28;62,67
1;Elevator;5;pair;TransitionDestinationExchange;79;4;75;0;100
1;Elevator;5;family-baseline;TransitionDestinationExchange;79;4;10;65;13,33
1;Elevator;6;state;TransitionMissing;25;0;13;12;52
1;Elevator;6;transition;TransitionMissing;25;0;25;0;100
1;Elevator;6;pair;TransitionMissing;25;0;25;0;100
1;Elevator;6;family-baseline;TransitionMissing;25;0;10;15;40
1;Elevator;6;state;ActionExchange;102;0;60;42;58,82
1;Elevator;6;transition;ActionExchange;102;0;102;0;100
1;Elevator;6;pair;ActionExchange;102;0;102;0;100
1;Elevator;6;family-baseline;ActionExchange;102;0;48;54;47,06
1;Elevator;6;state;StateMissing;11;0;11;0;100
1;Elevator;6;transition;StateMissing;11;0;11;0;100
1;Elevator;6;pair;StateMissing;11;0;11;0;100
1;Elevator;6;family-baseline;StateMissing;11;0;9;2;81,82
1;Elevator;6;state;TransitionDestinationExchange;104;2;44;58;43,14
1;Elevator;6;transition;TransitionDestinationExchange;104;2;90;12;88,24
1;Elevator;6;pair;TransitionDestinationExchange;104;2;102;0;100
1;Elevator;6;family-baseline;TransitionDestinationExchange;104;2;31;71;30,39
1;Elevator;7;state;TransitionMissing;24;0;13;11;54,17
1;Elevator;7;transition;TransitionMissing;24;0;24;0;100
1;Elevator;7;pair;TransitionMissing;24;0;24;0;100
1;Elevator;7;family-baseline;TransitionMissing;24;0;7;17;29,17
1;Elevator;7;state;ActionExchange;87;0;55;32;63,22
1;Elevator;7;transition;ActionExchange;87;0;87;0;100
1;Elevator;7;pair;ActionExchange;87;0;87;0;100
1;Elevator;7;family-baseline;ActionExchange;87;0;35;52;40,23
1;Elevator;7;state;StateMissing;11;0;11;0;100
1;Elevator;7;transition;StateMissing;11;0;11;0;100
1;Elevator;7;pair;StateMissing;11;0;11;0;100
1;Elevator;7;family-baseline;StateMissing;11;0;6;5;54,55
1;Elevator;7;state;TransitionDestinationExchange;99;2;44;53;45,36
1;Elevator;7;transition;TransitionDestinationExchange;99;2;83;14;85,57
1;Elevator;7;pair;TransitionDestinationExchange;99;2;97;0;100
1;Elevator;7;family-baseline;TransitionDestinationExchange;99;2;15;82;15,46
1;Elevator;8;state;TransitionMissing;20;0;7;13;35
1;Elevator;8;transition;TransitionMissing;20;0;20;0;100
1;Elevator;8;pair;TransitionMissing;20;0;20;0;100
1;Elevator;8;family-baseline;TransitionMissing;20;0;9;11;45
1;Elevator;8;state;ActionExchange;60;0;30;30;50
1;Elevator;8;transition;ActionExchange;60;0;60;0;100
1;Elevator;8;pair;ActionExchange;60;0;60;0;100
1;Elevator;8;family-baseline;ActionExchange;60;0;37;23;61,67
1;Elevator;8;state;StateMissing;7;0;7;0;100
1;Elevator;8;transition;StateMissing;7;0;7;0;100
1;Elevator;8;pair;StateMissing;7;0;7;0;100
1;Elevator;8;family-baseline;StateMissing;7;0;7;0;100
1;Elevator;8;state;TransitionDestinationExchange;57;6;11;40;21,57
1;Elevator;8;transition;TransitionDestinationExchange;57;6;39;12;76,47
1;Elevator;8;pair;TransitionDestinationExchange;57;6;51;0;100
1;Elevator;8;family-baseline;TransitionDestinationExchange;57;6;13;38;25,49
1;Elevator;9;state;TransitionMissing;28;0;9;19;32,14
1;Elevator;9;transition;TransitionMissing;28;0;28;0;100
1;Elevator;9;pair;TransitionMissing;28;0;28;0;100
1;Elevator;9;family-baseline;TransitionMissing;28;0;8;20;28,57
1;Elevator;9;state;ActionExchange;115;0;44;71;38,26
1;Elevator;9;transition;ActionExchange;115;0;115;0;100
1;Elevator;9;pair;ActionExchange;115;0;115;0;100
1;Elevator;9;family-baseline;ActionExchange;115;0;40;75;34,78
1;Elevator;9;state;StateMissing;9;0;9;0;100
1;Elevator;9;transition;StateMissing;9;0;9;0;100
1;Elevator;9;pair;StateMissing;9;0;9;0;100
1;Elevator;9;family-baseline;StateMissing;9;0;6;3;66,67
1;Elevator;9;state;TransitionDestinationExchange;105;14;19;72;20,88
1;Elevator;9;transition;TransitionDestinationExchange;105;14;62;29;68,13
1;Elevator;9;pair;TransitionDestinationExchange;105;14;91;0;100
1;Elevator;9;family-baseline;TransitionDestinationExchange;105;14;11;80;12,09
1;Elevator;10;state;TransitionMissing;23;0;9;14;39,13
1;Elevator;10;transition;TransitionMissing;23;0;23;0;100
1;Elevator;10;pair;TransitionMissing;23;0;23;0;100
1;Elevator;10;family-baseline;TransitionMissing;23;0;8;15;34,78
1;Elevator;10;state;ActionExchange;92;0;39;53;42,39
1;Elevator;10;transition;ActionExchange;92;0;92;0;100
1;Elevator;10;pair;ActionExchange;92;0;92;0;100
1;Elevator;10;family-baseline;ActionExchange;92;0;38;54;41,3
1;Elevator;10;state;StateMissing;8;0;8;0;100
1;Elevator;10;transition;StateMissing;8;0;8;0;100
1;Elevator;10;pair;StateMissing;8;0;8;0;100
1;Elevator;10;family-baseline;StateMissing;8;0;6;2;75
1;Elevator;10;state;TransitionDestinationExchange;82;6;18;58;23,68
1;Elevator;10;transition;TransitionDestinationExchange;82;6;51;25;67,11
1;Elevator;10;pair;TransitionDestinationExchange;82;6;76;0;100
1;Elevator;10;family-baseline;TransitionDestinationExchange;82;6;10;66;13,16
1;Elevator;11;state;TransitionMissing;21;0;10;11;47,62
1;Elevator;11;transition;TransitionMissing;21;0;21;0;100
1;Elevator;11;pair;TransitionMissing;21;0;21;0;100
1;Elevator;11;family-baseline;TransitionMissing;21;0;10;11;47,62
1;Elevator;11;state;ActionExchange;68;0;36;32;52,94
1;Elevator;11;transition;ActionExchange;68;0;68;0;100
1;Elevator;11;pair;ActionExchange;68;0;68;0;100
1;Elevator;11;family-baseline;ActionExchange;68;0;36;32;52,94
1;Elevator;11;state;StateMissing;9;0;9;0;100
1;Elevator;11;transition;StateMissing;9;0;9;0;100
1;Elevator;11;pair;StateMissing;9;0;9;0;100
1;Elevator;11;family-baseline;StateMissing;9;0;9;0;100
1;Elevator;11;state;TransitionDestinationExchange;68;2;25;41;37,88
1;Elevator;11;transition;TransitionDestinationExchange;68;2;58;8;87,88
