RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;Elevator;1;state;TransitionMissing;24;0;13;60;100;0;5;9;10;11;13;20,83;37,5;41,67;45,83;54,17
1;Elevator;1;state;ActionExchange;87;0;13;60;100;0;21;37;43;48;60;24,14;42,53;49,43;55,17;68,97
1;Elevator;1;state;StateMissing;11;0;13;60;100;0;4;6;7;7;9;36,36;54,55;63,64;63,64;81,82
1;Elevator;1;state;TransitionDestinationExchange;99;2;13;60;100;0;16;29;33;36;47;16,49;29,9;34,02;37,11;48,45
1;Elevator;1;transition;TransitionMissing;24;0;37;60;100;0;9;15;17;18;21;37,5;62,5;70,83;75;87,5
1;Elevator;1;transition;ActionExchange;87;0;37;60;100;0;43;61;66;72;82;49,43;70,11;75,86;82,76;94,25
1;Elevator;1;transition;StateMissing;11;0;37;60;100;0;5;9;10;11;11;45,45;81,82;90,91;100;100
1;Elevator;1;transition;TransitionDestinationExchange;99;2;37;60;100;0;33;52;61;65;78;34,02;53,61;62,89;67,01;80,41
1;Elevator;1;pair;TransitionMissing;24;0;185;60;100;0;22;23;24;24;24;91,67;95,83;100;100;100
1;Elevator;1;pair;ActionExchange;87;0;185;60;100;0;81;86;87;87;87;93,1;98,85;100;100;100
1;Elevator;1;pair;StateMissing;11;0;185;60;100;0;11;11;11;11;11;100;100;100;100;100
1;Elevator;1;pair;TransitionDestinationExchange;99;2;185;60;100;0;85;92;95;96;97;87,63;94,85;97,94;98,97;100
1;Elevator;2;state;TransitionMissing;23;0;9;54;100;0;5;7;8;8;11;21,74;30,43;34,78;34,78;47,83
1;Elevator;2;state;ActionExchange;92;0;9;54;100;0;20;30;33;36;45;21,74;32,61;35,87;39,13;48,91
