RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
3;HockertyShirts;state;1;58;67;2;106;100;27,11;15,53;0;7,61;49;49;54,5;50,25
3;HockertyShirts;transition;1;58;67;7;67;100;5,44;25,36;0;6,72;51;52;40,79;37,51
3;HockertyShirts;pair;1;58;67;10;439;100;3,71;4,21;10,14;4,61;54;55;32,33;22,67
3;HockertyShirts;state;2;56;60;2;104;100;3,01;3,29;0;0,9;56;56;9,12;7,2
3;HockertyShirts;transition;2;56;60;3;60;100;2,86;6,19;0;1,32;57;58;12,32;10,36
3;HockertyShirts;pair;2;56;60;5;209;100;2,52;0,95;5,04;1,23;59;60;16,01;9,74
3;HockertyShirts;state;3;59;68;2;108;100;3,03;3,93;0;0,87;61;61;9,81;7,84
3;HockertyShirts;transition;3;59;68;7;68;100;3,55;10,79;0;2,18;63;63;18,41;16,51
3;HockertyShirts;pair;3;59;68;10;448;100;3,23;1,13;11,82;2,38;65;66;25,84;18,56
3;HockertyShirts;state;4;59;68;2;108;100;2,54;3,24;0;0,56;67;67;7,33;6,34
3;HockertyShirts;transition;4;59;68;7;68;100;2,51;8,89;0;2,08;69;70;14,84;13,48
3;HockertyShirts;pair;4;59;68;10;448;100;2,52;0,88;8,01;2,29;72;73;19,26;13,7
3;HockertyShirts;state;5;59;68;2;108;100;2,53;2,6;0;0,53;74;74;6,54;5,66
3;HockertyShirts;transition;5;59;68;7;68;100;2,2;7,96;0;1,81;75;76;13,33;11,96
3;HockertyShirts;pair;5;59;68;9;405;100;2,49;1,64;6,27;2,27;78;79;19,58;12,67
3;HockertyShirts;state;6;58;64;2;107;100;2,62;3,42;0;0,71;80;80;8,15;6,76
3;HockertyShirts;transition;6;58;64;5;64;100;2,75;7,68;0;1,13;81;82;12,76;11,56
3;HockertyShirts;pair;6;58;64;7;305;100;2,1;0,62;5,54;1,8;84;84;15,93;10,06
3;HockertyShirts;state;7;59;68;2;108;100;2,84;3,07;0;0,68;85;85;7,92;6,59
3;HockertyShirts;transition;7;59;68;7;68;100;2,82;8,3;0;1,82;87;88;14,54;12,94
3;HockertyShirts;pair;7;59;68;10;448;100;2,57;0,85;10,94;2,35;90;91;23,81;16,71
3;HockertyShirts;state;8;60;73;3;138;100;2,94;3,12;0;0,69;92;92;7,98;6,74
3;HockertyShirts;transition;8;60;73;10;73;100;2,39;9,77;0;3,18;94;94;17,03;15,34
3;HockertyShirts;pair;8;60;73;15;686;100;2,75;0,8;15,68;3,73;97;98;30,54;22,96
3;HockertyShirts;state;9;59;72;2;107;100;2,93;3,45;0;0,44;99;99;7,89;6,82
3;HockertyShirts;transition;9;59;72;10;72;100;2,53;9,36;0;2,52;101;102;15,89;14,41
3;HockertyShirts;pair;9;59;72;16;714;100;2,3;0,85;20,68;2,47;105;106;33,06;26,3
3;HockertyShirts;state;10;59;72;3;136;100;2,5;36,28;0;0,57;113;11,42;40,42;39,35
3;HockertyShirts;transition;10;59;72;10;72;100;2,5;7,25;0;1,25;13,42;14,42;12,62;10,99
3;HockertyShirts;pair;10;59;72;15;672;100;1,83;0,61;9,37;2,27;16,42;17,42;19,06;14,08
3;HockertyShirts;state;11;60;73;2;109;100;1,45;1,54;0;0,41;18,42;19,42;4,6;3,39
3;HockertyShirts;transition;11;60;73;10;73;100;1,42;8,83;0;1,2;20,42;21,42;13,34;11,45
3;HockertyShirts;pair;11;60;73;16;729;100;1,01;0,66;13,23;1,82;24,42;25,42;22,38;16,72
3;HockertyShirts;state;12;60;73;3;138;100;1,44;3,45;0;0,37;26,42;26,42;6,2;5,25
3;HockertyShirts;transition;12;60;73;10;73;100;1,57;7,97;0;1,33;28,42;28,42;12,26;10,87
3;HockertyShirts;pair;12;60;73;15;686;100;1,84;0,59;8,89;1,44;31,42;32,42;18,8;12,76
3;HockertyShirts;state;13;59;72;3;136;100;1,45;2,19;0;0,35;33,42;33,42;5,49;3,99
3;HockertyShirts;transition;13;59;72;10;72;100;1,36;7,75;0;0,95;35,42;36,42;11,2;10,07
3;HockertyShirts;pair;13;59;72;15;672;100;6,14;0,72;12,4;1,36;38,42;39,42;26,71;20,62
3;HockertyShirts;state;14;59;72;3;136;100;1,3;1,59;0;0,41;40,42;40,42;4,16;3,3
3;HockertyShirts;transition;14;59;72;10;72;100;1,51;7,38;0;0,99;42,42;43,42;11,1;9,89
3;HockertyShirts;pair;14;59;72;15;672;100;1,18;0,48;8,76;1,23;45,42;46,42;20,09;11,65
3;HockertyShirts;state;15;59;68;2;108;100;1,5;1,74;0;0,29;47,42;47,42;4,84;3,53
3;HockertyShirts;transition;15;59;68;7;68;100;1,44;6,07;0;0,65;49,42;50,42;9,53;8,15
3;HockertyShirts;pair;15;59;68;9;405;100;1,42;0,56;7,29;1,68;51,42;52,42;15,74;10,95
3;HockertyShirts;state;16;59;68;2;108;100;1,83;3,07;0;0,3;53,42;53,42;6,35;5,2
3;HockertyShirts;transition;16;59;68;7;68;100;1,47;6,94;0;0,88;55,42;55,42;14,83;9,3
3;HockertyShirts;pair;16;59;68;9;405;100;1,22;0,45;4,88;0,77;57,42;58,42;10,4;7,32
3;HockertyShirts;state;17;58;67;2;106;100;1,66;1,73;0;0,25;59,42;59,42;4,35;3,63
3;HockertyShirts;transition;17;58;67;7;67;100;1,17;9,01;0;0,83;61,42;61,42;12,9;11,01
3;HockertyShirts;pair;17;58;67;9;397;100;1,41;0,56;5,51;0,69;63,42;64,42;11,62;8,16
3;HockertyShirts;state;18;59;68;2;108;100;2;5,61;0;0,25;65,42;65,42;8,81;7,87
3;HockertyShirts;transition;18;59;68;7;68;100;1,28;5,56;0;0,7;66,42;67,42;8,75;7,54
3;HockertyShirts;pair;18;59;68;10;448;100;1,13;0,44;12,6;0,76;69,42;70,42;17,77;14,94
3;HockertyShirts;state;19;59;68;3;137;100;1,31;1,77;0;0,31;71,42;71,42;4,27;3,39
3;HockertyShirts;transition;19;59;68;7;68;100;1,1;4,78;0;0,76;72,42;73,42;7,87;6,64
3;HockertyShirts;pair;19;59;68;9;405;100;1,26;0,58;5,12;0,64;75,42;75,42;10,68;7,6
3;HockertyShirts;state;20;59;68;2;108;100;1,22;1,32;0;0,27;76,42;77,42;3,63;2,82
3;HockertyShirts;transition;20;59;68;7;68;100;1,1;4,77;0;0,71;78,42;79,42;7,64;6,57
3;HockertyShirts;pair;20;59;68;9;405;100;1,18;0,53;6,2;0,69;81,42;81,42;12,01;8,6
3;HockertyShirts;state;21;59;68;2;108;100;1,24;2,15;0;0,24;82,42;82,42;4,84;3,63
3;HockertyShirts;transition;21;59;68;7;68;100;1,23;5,16;0;0,72;84,42;84,42;9,04;7,11
3;HockertyShirts;pair;21;59;68;10;448;100;1,47;0,73;5,43;0,91;86,42;87,42;12,58;8,54
3;HockertyShirts;state;22;59;68;2;108;100;0,94;1,27;0;0,28;88,42;88,42;3,56;2,48
3;HockertyShirts;transition;22;59;68;7;68;100;1,8;5,87;0;0,75;90,42;90,42;9,38;8,43
3;HockertyShirts;pair;22;59;68;9;405;100;1,08;0,49;4,75;0,82;92,42;93,42;9,8;7,15
3;HockertyShirts;state;23;60;73;3;138;100;1,09;1,45;0;0,37;94,42;94,42;3,53;2,9
3;HockertyShirts;transition;23;60;73;10;73;100;1,02;6,89;0;1,04;96,42;97,42;9,97;8,95
3;HockertyShirts;pair;23;60;73;15;686;100;1,39;0,59;8,52;1,24;99,42;100,42;15,11;11,74
3;HockertyShirts;state;24;58;64;2;107;100;1,12;1,36;0;0,26;101,42;101,42;3,41;2,73
3;HockertyShirts;transition;24;58;64;5;64;100;1,04;4,01;0;0,51;103,42;103,42;6,36;5,56
3;HockertyShirts;pair;24;58;64;7;305;100;1,14;0,5;3,71;0,47;105,42;105,42;8,17;5,81
3;HockertyShirts;state;25;59;68;2;108;100;1,04;1,2;0;0,18;106,42;106,42;2,94;2,41
3;HockertyShirts;transition;25;59;68;7;68;100;0,96;4,44;0;0,61;108,42;109,42;7,09;6,01
3;HockertyShirts;pair;25;59;68;10;448;100;1,02;0,61;5,06;0,92;111,42;111,42;10,41;7,61
3;HockertyShirts;state;26;58;64;2;107;100;27,79;1,52;0;0,25;11,77;11,77;30,32;29,56
3;HockertyShirts;transition;26;58;64;5;64;100;1,02;3,66;0;0,53;13,77;13,77;6,09;5,21
3;HockertyShirts;pair;26;58;64;7;305;100;1,02;0,4;3,73;0,48;15,77;15,77;8,29;5,64
3;HockertyShirts;state;27;59;68;2;108;100;0,99;1,25;0;0,24;16,77;17,77;2,99;2,48
3;HockertyShirts;transition;27;59;68;7;68;100;0,8;4,57;0;0,7;18,77;19,77;7,08;6,07
3;HockertyShirts;pair;27;59;68;10;448;100;0,91;0,64;5,33;1,18;21,77;21,77;10,9;8,06
3;HockertyShirts;state;28;58;67;2;106;100;1,04;1,3;0;0,25;22,77;23,77;3,1;2,58
3;HockertyShirts;transition;28;58;67;7;67;100;0,89;4,4;0;0,67;24,77;25,77;6,85;5,96
3;HockertyShirts;pair;28;58;67;9;397;100;1,03;0,6;4,51;0,61;26,77;27,77;9,44;6,75
3;HockertyShirts;state;29;59;68;2;108;100;1,05;1,26;0;0,23;28,77;28,77;3,14;2,53
3;HockertyShirts;transition;29;59;68;7;68;100;0,97;4,47;0;0,82;30,77;30,77;7,18;6,25
3;HockertyShirts;pair;29;59;68;9;405;100;1,06;0,59;4,38;0,83;32,77;33,77;9,59;6,86
3;HockertyShirts;state;30;58;67;3;135;100;1,04;1,61;0;0,24;34,77;34,77;3,55;2,89
3;HockertyShirts;transition;30;58;67;7;67;100;1,06;5,1;0;0,76;36,77;36,77;7,94;6,92
3;HockertyShirts;pair;30;58;67;10;439;100;1,2;0,54;4,79;0,76;38,77;39,77;9,8;7,29
