RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%)
1;HockertyShirts;1;state;TransitionMissing;67;0;60;7;89,55
1;HockertyShirts;1;transition;TransitionMissing;67;0;67;0;100
1;HockertyShirts;1;pair;TransitionMissing;67;0;67;0;100
1;HockertyShirts;1;family-baseline;TransitionMissing;67;0;0;67;0
1;HockertyShirts;1;state;ActionExchange;96;0;88;8;91,67
1;HockertyShirts;1;transition;ActionExchange;96;0;96;0;100
1;HockertyShirts;1;pair;ActionExchange;96;0;96;0;100
1;HockertyShirts;1;family-baseline;ActionExchange;96;0;0;96;0
1;HockertyShirts;1;state;StateMissing;57;0;57;0;100
1;HockertyShirts;1;transition;StateMissing;57;0;57;0;100
1;HockertyShirts;1;pair;StateMissing;57;0;57;0;100
1;HockertyShirts;1;family-baseline;StateMissing;57;0;0;57;0
1;HockertyShirts;1;state;TransitionDestinationExchange;96;3;77;16;82,8
1;HockertyShirts;1;transition;TransitionDestinationExchange;96;3;92;1;98,92
1;HockertyShirts;1;pair;TransitionDestinationExchange;96;3;93;0;100
1;HockertyShirts;1;family-baseline;TransitionDestinationExchange;96;3;0;93;0
1;HockertyShirts;2;state;TransitionMissing;60;0;58;2;96,67
1;HockertyShirts;2;transition;TransitionMissing;60;0;60;0;100
1;HockertyShirts;2;pair;TransitionMissing;60;0;60;0;100
1;HockertyShirts;2;family-baseline;TransitionMissing;60;0;0;60;0
1;HockertyShirts;2;state;ActionExchange;72;0;70;2;97,22
1;HockertyShirts;2;transition;ActionExchange;72;0;72;0;100
1;HockertyShirts;2;pair;ActionExchange;72;0;72;0;100
1;HockertyShirts;2;family-baseline;ActionExchange;72;0;0;72;0
1;HockertyShirts;2;state;StateMissing;55;0;55;0;100
1;HockertyShirts;2;transition;StateMissing;55;0;55;0;100
1;HockertyShirts;2;pair;StateMissing;55;0;55;0;100
1;HockertyShirts;2;family-baseline;StateMissing;55;0;0;55;0
1;HockertyShirts;2;state;TransitionDestinationExchange;72;1;66;5;92,96
1;HockertyShirts;2;transition;TransitionDestinationExchange;72;1;71;0;100
1;HockertyShirts;2;pair;TransitionDestinationExchange;72;1;71;0;100
1;HockertyShirts;2;family-baseline;TransitionDestinationExchange;72;1;0;71;0
1;HockertyShirts;3;state;TransitionMissing;68;0;61;7;89,71
1;HockertyShirts;3;transition;TransitionMissing;68;0;68;0;100
1;HockertyShirts;3;pair;TransitionMissing;68;0;68;0;100
1;HockertyShirts;3;family-baseline;TransitionMissing;68;0;0;68;0
1;HockertyShirts;3;state;ActionExchange;97;0;89;8;91,75
1;HockertyShirts;3;transition;ActionExchange;97;0;97;0;100
1;HockertyShirts;3;pair;ActionExchange;97;0;97;0;100
1;HockertyShirts;3;family-baseline;ActionExchange;97;0;0;97;0
1;HockertyShirts;3;state;StateMissing;58;0;58;0;100
1;HockertyShirts;3;transition;StateMissing;58;0;58;0;100
1;HockertyShirts;3;pair;StateMissing;58;0;58;0;100
1;HockertyShirts;3;family-baseline;StateMissing;58;0;0;58;0
1;HockertyShirts;3;state;TransitionDestinationExchange;97;3;78;16;82,98
1;HockertyShirts;3;transition;TransitionDestinationExchange;97;3;93;1;98,94
1;HockertyShirts;3;pair;TransitionDestinationExchange;97;3;94;0;100
1;HockertyShirts;3;family-baseline;TransitionDestinationExchange;97;3;0;94;0
1;HockertyShirts;4;state;TransitionMissing;68;0;61;7;89,71
1;HockertyShirts;4;transition;TransitionMissing;68;0;68;0;100
1;HockertyShirts;4;pair;TransitionMissing;68;0;68;0;100
1;HockertyShirts;4;family-baseline;TransitionMissing;68;0;0;68;0
1;HockertyShirts;4;state;ActionExchange;97;0;87;10;89,69
1;HockertyShirts;4;transition;ActionExchange;97;0;97;0;100
1;HockertyShirts;4;pair;ActionExchange;97;0;97;0;100
1;HockertyShirts;4;family-baseline;ActionExchange;97;0;0;97;0
1;HockertyShirts;4;state;StateMissing;58;0;58;0;100
1;HockertyShirts;4;transition;StateMissing;58;0;58;0;100
1;HockertyShirts;4;pair;StateMissing;58;0;58;0;100
1;HockertyShirts;4;family-baseline;StateMissing;58;0;0;58;0
1;HockertyShirts;4;state;TransitionDestinationExchange;97;3;76;18;80,85
1;HockertyShirts;4;transition;TransitionDestinationExchange;97;3;93;1;98,94
1;HockertyShirts;4;pair;TransitionDestinationExchange;97;3;94;0;100
1;HockertyShirts;4;family-baseline;TransitionDestinationExchange;97;3;0;94;0
1;HockertyShirts;5;state;TransitionMissing;68;0;61;7;89,71
1;HockertyShirts;5;transition;TransitionMissing;68;0;68;0;100
1;HockertyShirts;5;pair;TransitionMissing;68;0;68;0;100
1;HockertyShirts;5;family-baseline;TransitionMissing;68;0;0;68;0
1;HockertyShirts;5;state;ActionExchange;97;0;87;10;89,69
1;HockertyShirts;5;transition;ActionExchange;97;0;97;0;100
1;HockertyShirts;5;pair;ActionExchange;97;0;97;0;100
1;HockertyShirts;5;family-baseline;ActionExchange;97;0;0;97;0
1;HockertyShirts;5;state;StateMissing;58;0;58;0;100
