RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;HockertyShirts;209;state;TransitionMissing;68;0;108;136;100;0;45;56;58;60;63;66,18;82,35;85,29;88,24;92,65
1;HockertyShirts;209;state;ActionExchange;97;0;108;136;100;0;59;75;81;86;91;60,82;77,32;83,51;88,66;93,81
1;HockertyShirts;209;state;StateMissing;58;0;108;136;100;0;43;52;54;56;58;74,14;89,66;93,1;96,55;100
1;HockertyShirts;209;state;TransitionDestinationExchange;97;3;108;136;100;0;52;68;72;76;83;55,32;72,34;76,6;80,85;88,3
1;HockertyShirts;209;transition;TransitionMissing;68;0;354;136;100;0;56;63;64;65;68;82,35;92,65;94,12;95,59;100
1;HockertyShirts;209;transition;ActionExchange;97;0;354;136;100;0;76;90;93;94;97;78,35;92,78;95,88;96,91;100
1;HockertyShirts;209;transition;StateMissing;58;0;354;136;100;0;51;57;57;58;58;87,93;98,28;98,28;100;100
1;HockertyShirts;209;transition;TransitionDestinationExchange;97;3;354;136;100;0;70;82;86;88;93;74,47;87,23;91,49;93,62;98,94
1;HockertyShirts;209;pair;TransitionMissing;68;0;405;136;100;0;56;63;65;66;68;82,35;92,65;95,59;97,06;100
1;HockertyShirts;209;pair;ActionExchange;97;0;405;136;100;0;76;91;94;95;97;78,35;93,81;96,91;97,94;100
1;HockertyShirts;209;pair;StateMissing;58;0;405;136;100;0;51;57;57;58;58;87,93;98,28;98,28;100;100
1;HockertyShirts;209;pair;TransitionDestinationExchange;97;3;405;136;100;0;70;84;87;89;93;74,47;89,36;92,55;94,68;98,94
1;HockertyShirts;210;state;TransitionMissing;68;0;108;136;100;0;45;54;57;59;63;66,18;79,41;83,82;86,76;92,65
1;HockertyShirts;210;state;ActionExchange;97;0;108;136;100;0;59;72;79;85;91;60,82;74,23;81,44;87,63;93,81
1;HockertyShirts;210;state;StateMissing;58;0;108;136;100;0;43;51;53;55;57;74,14;87,93;91,38;94,83;98,28
1;HockertyShirts;210;state;TransitionDestinationExchange;97;3;108;136;100;0;52;64;71;74;82;55,32;68,09;75,53;78,72;87,23
1;HockertyShirts;210;transition;TransitionMissing;68;0;354;136;100;0;58;63;64;65;68;85,29;92,65;94,12;95,59;100
1;HockertyShirts;210;transition;ActionExchange;97;0;354;136;100;0;81;90;92;94;97;83,51;92,78;94,85;96,91;100
1;HockertyShirts;210;transition;StateMissing;58;0;354;136;100;0;53;57;57;58;58;91,38;98,28;98,28;100;100
1;HockertyShirts;210;transition;TransitionDestinationExchange;97;3;354;136;100;0;74;82;86;87;93;78,72;87,23;91,49;92,55;98,94
1;HockertyShirts;210;pair;TransitionMissing;68;0;405;136;100;0;58;63;65;66;68;85,29;92,65;95,59;97,06;100
1;HockertyShirts;210;pair;ActionExchange;97;0;405;136;100;0;81;92;93;95;97;83,51;94,85;95,88;97,94;100
1;HockertyShirts;210;pair;StateMissing;58;0;405;136;100;0;53;57;57;58;58;91,38;98,28;98,28;100;100
1;HockertyShirts;210;pair;TransitionDestinationExchange;97;3;405;136;100;0;74;85;87;89;94;78,72;90,43;92,55;94,68;100
1;HockertyShirts;211;state;TransitionMissing;68;0;108;136;100;0;45;56;58;60;63;66,18;82,35;85,29;88,24;92,65
1;HockertyShirts;211;state;ActionExchange;97;0;108;136;100;0;59;75;81;86;91;60,82;77,32;83,51;88,66;93,81
1;HockertyShirts;211;state;StateMissing;58;0;108;136;100;0;43;52;54;56;58;74,14;89,66;93,1;96,55;100
1;HockertyShirts;211;state;TransitionDestinationExchange;97;3;108;136;100;0;52;68;72;76;83;55,32;72,34;76,6;80,85;88,3
1;HockertyShirts;211;transition;TransitionMissing;68;0;354;136;100;0;56;63;64;65;68;82,35;92,65;94,12;95,59;100
1;HockertyShirts;211;transition;ActionExchange;97;0;354;136;100;0;76;90;93;94;97;78,35;92,78;95,88;96,91;100
1;HockertyShirts;211;transition;StateMissing;58;0;354;136;100;0;51;57;57;58;58;87,93;98,28;98,28;100;100
1;HockertyShirts;211;transition;TransitionDestinationExchange;97;3;354;136;100;0;70;82;86;88;93;74,47;87,23;91,49;93,62;98,94
1;HockertyShirts;211;pair;TransitionMissing;68;0;448;136;100;0;56;64;65;66;68;82,35;94,12;95,59;97,06;100
1;HockertyShirts;211;pair;ActionExchange;97;0;448;136;100;0;76;92;94;95;97;78,35;94,85;96,91;97,94;100
1;HockertyShirts;211;pair;StateMissing;58;0;448;136;100;0;51;57;57;58;58;87,93;98,28;98,28;100;100
1;HockertyShirts;211;pair;TransitionDestinationExchange;97;3;448;136;100;0;70;85;88;90;94;74,47;90,43;93,62;95,74;100
1;HockertyShirts;212;state;TransitionMissing;68;0;108;136;100;0;45;55;57;60;63;66,18;80,88;83,82;88,24;92,65
1;HockertyShirts;212;state;ActionExchange;97;0;108;136;100;0;59;75;80;87;91;60,82;77,32;82,47;89,69;93,81
1;HockertyShirts;212;state;StateMissing;58;0;108;136;100;0;43;52;53;56;58;74,14;89,66;91,38;96,55;100
1;HockertyShirts;212;state;TransitionDestinationExchange;97;3;108;136;100;0;52;67;72;77;83;55,32;71,28;76,6;81,91;88,3
1;HockertyShirts;212;transition;TransitionMissing;68;0;354;136;100;0;58;63;64;66;67;85,29;92,65;94,12;97,06;98,53
1;HockertyShirts;212;transition;ActionExchange;97;0;354;136;100;0;81;91;93;95;97;83,51;93,81;95,88;97,94;100
1;HockertyShirts;212;transition;StateMissing;58;0;354;136;100;0;53;57;57;58;58;91,38;98,28;98,28;100;100
1;HockertyShirts;212;transition;TransitionDestinationExchange;97;3;354;136;100;0;74;83;86;89;93;78,72;88,3;91,49;94,68;98,94
1;HockertyShirts;212;pair;TransitionMissing;68;0;405;136;100;0;58;64;65;66;67;85,29;94,12;95,59;97,06;98,53
1;HockertyShirts;212;pair;ActionExchange;97;0;405;136;100;0;81;91;94;95;97;83,51;93,81;96,91;97,94;100
