RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
4;SVM;state;1;6;8;3;10;100;4,79;3,73;0;2,93;12,53;12,53;15;11,45
4;SVM;transition;1;6;8;3;8;100;1,13;9,63;0;0,33;12,53;12,53;12,74;11,09
4;SVM;pair;1;6;8;4;12;100;0,79;2,35;1,47;0,49;13,53;13,53;9,99;5,11
4;SVM;state;2;7;7;1;6;100;0,85;0,76;0;0,14;13,53;13,53;2,8;1,75
4;SVM;transition;2;7;7;1;7;100;0,97;1,49;0;0,33;13,53;13,53;4,65;2,78
4;SVM;pair;2;7;7;2;8;100;0,6;0,21;0,68;0,2;13,53;13,53;3,46;1,69
4;SVM;state;3;4;4;1;3;100;0,54;0,37;0;0,09;13,53;13,53;2,35;1,01
4;SVM;transition;3;4;4;1;4;100;0,55;1,24;0;0,1;13,53;13,53;2,87;1,89
4;SVM;pair;3;4;4;2;5;100;0,44;0,12;0,53;0,11;14,53;14,53;2,41;1,2
4;SVM;state;4;5;6;2;6;100;0,43;0,52;0;0,11;14,53;14,53;2,07;1,07
4;SVM;transition;4;5;6;2;6;100;0,51;1,14;0;0,11;14,53;14,53;2,83;1,76
4;SVM;pair;4;5;6;3;8;100;0,47;0,18;0,86;0,18;14,53;14,53;3,35;1,69
4;SVM;state;5;7;7;1;6;100;0,49;0,51;0;0,11;14,53;14,53;1,86;1,11
4;SVM;transition;5;7;7;1;7;100;0,39;0,78;0;0,16;14,53;14,53;2,12;1,33
4;SVM;pair;5;7;7;2;8;100;0,4;0,21;0,77;0,16;15,53;15,53;2,37;1,54
4;SVM;state;6;8;9;2;10;100;0,31;0,57;0;0,17;15,53;15,53;1,83;1,05
4;SVM;transition;6;8;9;2;9;100;0,49;1,38;0;0,16;15,53;15,53;2,56;2,04
4;SVM;pair;6;8;9;3;15;100;0,49;0,25;0,8;0,32;15,53;15,53;2,97;1,87
4;SVM;state;7;5;6;2;6;100;0,56;0,53;0;0,17;15,53;15,53;1,68;1,26
4;SVM;transition;7;5;6;2;6;100;0,45;0,86;0;0,13;15,53;15,53;1,98;1,44
4;SVM;pair;7;5;6;3;8;100;0,33;0,24;0,83;0,14;16,53;16,53;2,51;1,54
4;SVM;state;8;8;9;2;10;100;0,4;0,43;0;0,18;16,53;16,53;1,54;1,01
4;SVM;transition;8;8;9;2;9;100;0,43;1,14;0;0,22;16,53;16,53;2,48;1,79
4;SVM;pair;8;8;9;3;12;100;0,44;0,19;0,89;0,17;16,53;16,53;2,63;1,68
4;SVM;state;9;4;4;1;3;100;0,23;0,28;0;0,06;16,53;16,53;0,98;0,57
4;SVM;transition;9;4;4;1;4;100;0,18;0,61;0;0,12;16,53;16,53;1,39;0,91
4;SVM;pair;9;4;4;2;5;100;0,22;0,07;0,21;0,07;17,53;17,53;1,22;0,55
4;SVM;state;10;8;9;2;10;100;0,56;0,26;0;0,08;17,53;17,53;1,29;0,9
4;SVM;transition;10;8;9;2;9;100;0,27;0,71;0;0,18;17,53;17,53;1,75;1,16
4;SVM;pair;10;8;9;3;12;100;0,42;0,19;0,46;0,24;17,53;17,53;2,21;1,32
4;SVM;state;11;9;11;3;17;100;0,4;0,49;0;0,12;17,53;17,53;1,42;1
4;SVM;transition;11;9;11;3;11;100;0,36;1,07;0;0,29;17,53;18,53;2,62;1,72
4;SVM;pair;11;9;11;4;19;100;0,25;0,13;0,49;0,13;18,53;18,53;1,71;1,01
4;SVM;state;12;5;6;2;6;100;0,15;0,19;0;0,31;18,53;18,53;1,18;0,65
4;SVM;transition;12;5;6;2;6;100;0,28;0,78;0;0,13;18,53;18,53;1,92;1,19
4;SVM;pair;12;5;6;3;9;100;0,27;0,22;0,42;0,1;18,53;18,53;2;1,01
