RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%)
1;SVM;1;state;TransitionMissing;8;0;7;1;87,5
1;SVM;1;transition;TransitionMissing;8;0;8;0;100
1;SVM;1;pair;TransitionMissing;8;0;8;0;100
1;SVM;1;family-baseline;TransitionMissing;8;0;0;8;0
1;SVM;1;state;ActionExchange;16;0;15;1;93,75
1;SVM;1;transition;ActionExchange;16;0;16;0;100
1;SVM;1;pair;ActionExchange;16;0;16;0;100
1;SVM;1;family-baseline;ActionExchange;16;0;0;16;0
1;SVM;1;state;StateMissing;5;0;5;0;100
1;SVM;1;transition;StateMissing;5;0;5;0;100
1;SVM;1;pair;StateMissing;5;0;5;0;100
1;SVM;1;family-baseline;StateMissing;5;0;0;5;0
1;SVM;1;state;TransitionDestinationExchange;16;2;11;3;78,57
1;SVM;1;transition;TransitionDestinationExchange;16;2;14;0;100
1;SVM;1;pair;TransitionDestinationExchange;16;2;14;0;100
1;SVM;1;family-baseline;TransitionDestinationExchange;16;2;0;14;0
1;SVM;2;state;TransitionMissing;6;0;5;1;83,33
1;SVM;2;transition;TransitionMissing;6;0;6;0;100
1;SVM;2;pair;TransitionMissing;6;0;6;0;100
1;SVM;2;family-baseline;TransitionMissing;6;0;0;6;0
1;SVM;2;state;ActionExchange;9;0;8;1;88,89
1;SVM;2;transition;ActionExchange;9;0;9;0;100
1;SVM;2;pair;ActionExchange;9;0;9;0;100
1;SVM;2;family-baseline;ActionExchange;9;0;0;9;0
1;SVM;2;state;StateMissing;4;0;4;0;100
1;SVM;2;transition;StateMissing;4;0;4;0;100
1;SVM;2;pair;StateMissing;4;0;4;0;100
1;SVM;2;family-baseline;StateMissing;4;0;0;4;0
1;SVM;2;state;TransitionDestinationExchange;9;1;5;3;62,5
1;SVM;2;transition;TransitionDestinationExchange;9;1;8;0;100
1;SVM;2;pair;TransitionDestinationExchange;9;1;8;0;100
1;SVM;2;family-baseline;TransitionDestinationExchange;9;1;0;8;0
1;SVM;3;state;TransitionMissing;9;0;8;1;88,89
1;SVM;3;transition;TransitionMissing;9;0;9;0;100
1;SVM;3;pair;TransitionMissing;9;0;9;0;100
1;SVM;3;family-baseline;TransitionMissing;9;0;9;0;100
1;SVM;3;state;ActionExchange;12;0;11;1;91,67
1;SVM;3;transition;ActionExchange;12;0;12;0;100
1;SVM;3;pair;ActionExchange;12;0;12;0;100
1;SVM;3;family-baseline;ActionExchange;12;0;12;0;100
1;SVM;3;state;StateMissing;7;0;7;0;100
1;SVM;3;transition;StateMissing;7;0;7;0;100
1;SVM;3;pair;StateMissing;7;0;7;0;100
1;SVM;3;family-baseline;StateMissing;7;0;7;0;100
1;SVM;3;state;TransitionDestinationExchange;12;2;8;2;80
1;SVM;3;transition;TransitionDestinationExchange;12;2;10;0;100
1;SVM;3;pair;TransitionDestinationExchange;12;2;10;0;100
1;SVM;3;family-baseline;TransitionDestinationExchange;12;2;10;0;100
1;SVM;4;state;TransitionMissing;7;0;6;1;85,71
1;SVM;4;transition;TransitionMissing;7;0;7;0;100
1;SVM;4;pair;TransitionMissing;7;0;7;0;100
1;SVM;4;family-baseline;TransitionMissing;7;0;7;0;100
1;SVM;4;state;ActionExchange;7;0;6;1;85,71
1;SVM;4;transition;ActionExchange;7;0;7;0;100
1;SVM;4;pair;ActionExchange;7;0;7;0;100
1;SVM;4;family-baseline;ActionExchange;7;0;7;0;100
1;SVM;4;state;StateMissing;6;0;6;0;100
1;SVM;4;transition;StateMissing;6;0;6;0;100
1;SVM;4;pair;StateMissing;6;0;6;0;100
1;SVM;4;family-baseline;StateMissing;6;0;6;0;100
1;SVM;4;state;TransitionDestinationExchange;7;1;5;1;83,33
1;SVM;4;transition;TransitionDestinationExchange;7;1;6;0;100
1;SVM;4;pair;TransitionDestinationExchange;7;1;6;0;100
1;SVM;4;family-baseline;TransitionDestinationExchange;7;1;6;0;100
1;SVM;5;state;TransitionMissing;9;0;8;1;88,89
1;SVM;5;transition;TransitionMissing;9;0;9;0;100
1;SVM;5;pair;TransitionMissing;9;0;9;0;100
1;SVM;5;family-baseline;TransitionMissing;9;0;9;0;100
1;SVM;5;state;ActionExchange;12;0;11;1;91,67
1;SVM;5;transition;ActionExchange;12;0;12;0;100
1;SVM;5;pair;ActionExchange;12;0;12;0;100
1;SVM;5;family-baseline;ActionExchange;12;0;12;0;100
1;SVM;5;state;StateMissing;7;0;7;0;100
1;SVM;5;transition;StateMissing;7;0;7;0;100
1;SVM;5;pair;StateMissing;7;0;7;0;100
1;SVM;5;family-baseline;StateMissing;7;0;7;0;100
1;SVM;5;state;TransitionDestinationExchange;12;1;8;3;72,73
1;SVM;5;transition;TransitionDestinationExchange;12;1;11;0;100
1;SVM;5;pair;TransitionDestinationExchange;12;1;11;0;100
1;SVM;5;family-baseline;TransitionDestinationExchange;12;1;11;0;100
1;SVM;6;state;TransitionMissing;6;0;5;1;83,33
1;SVM;6;transition;TransitionMissing;6;0;6;0;100
1;SVM;6;pair;TransitionMissing;6;0;6;0;100
1;SVM;6;family-baseline;TransitionMissing;6;0;0;6;0
1;SVM;6;state;ActionExchange;9;0;8;1;88,89
1;SVM;6;transition;ActionExchange;9;0;9;0;100
1;SVM;6;pair;ActionExchange;9;0;9;0;100
1;SVM;6;family-baseline;ActionExchange;9;0;0;9;0
1;SVM;6;state;StateMissing;4;0;4;0;100
1;SVM;6;transition;StateMissing;4;0;4;0;100
1;SVM;6;pair;StateMissing;4;0;4;0;100
1;SVM;6;family-baseline;StateMissing;4;0;0;4;0
1;SVM;6;state;TransitionDestinationExchange;9;2;5;2;71,43
1;SVM;6;transition;TransitionDestinationExchange;9;2;7;0;100
1;SVM;6;pair;TransitionDestinationExchange;9;2;7;0;100
1;SVM;6;family-baseline;TransitionDestinationExchange;9;2;0;7;0
1;SVM;7;state;TransitionMissing;11;0;10;1;90,91
1;SVM;7;transition;TransitionMissing;11;0;11;0;100
1;SVM;7;pair;TransitionMissing;11;0;11;0;100
1;SVM;7;family-baseline;TransitionMissing;11;0;11;0;100
1;SVM;7;state;ActionExchange;19;0;18;1;94,74
