RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;SVM;1;state;TransitionMissing;8;0;10;16;100;0;4;6;6;6;8;50;75;75;75;100
1;SVM;1;state;ActionExchange;16;0;10;16;100;0;10;14;14;14;16;62,5;87,5;87,5;87,5;100
1;SVM;1;state;StateMissing;5;0;10;16;100;0;3;4;4;4;5;60;80;80;80;100
1;SVM;1;state;TransitionDestinationExchange;16;2;10;16;100;0;7;10;10;11;14;50;71,43;71,43;78,57;100
1;SVM;1;transition;TransitionMissing;8;0;11;16;100;0;4;6;6;8;8;50;75;75;100;100
1;SVM;1;transition;ActionExchange;16;0;11;16;100;0;10;14;14;16;16;62,5;87,5;87,5;100;100
1;SVM;1;transition;StateMissing;5;0;11;16;100;0;3;4;4;5;5;60;80;80;100;100
1;SVM;1;transition;TransitionDestinationExchange;16;2;11;16;100;0;7;10;11;14;14;50;71,43;78,57;100;100
1;SVM;1;pair;TransitionMissing;8;0;12;16;100;0;4;6;6;8;8;50;75;75;100;100
1;SVM;1;pair;ActionExchange;16;0;12;16;100;0;10;14;14;16;16;62,5;87,5;87,5;100;100
1;SVM;1;pair;StateMissing;5;0;12;16;100;0;3;4;4;5;5;60;80;80;100;100
1;SVM;1;pair;TransitionDestinationExchange;16;2;12;16;100;0;7;10;11;14;14;50;71,43;78,57;100;100
1;SVM;2;state;TransitionMissing;6;0;6;12;100;0;4;6;6;6;6;66,67;100;100;100;100
1;SVM;2;state;ActionExchange;9;0;6;12;100;0;7;9;9;9;9;77,78;100;100;100;100
1;SVM;2;state;StateMissing;4;0;6;12;100;0;3;4;4;4;4;75;100;100;100;100
1;SVM;2;state;TransitionDestinationExchange;9;1;6;12;100;0;5;8;8;8;8;62,5;100;100;100;100
1;SVM;2;transition;TransitionMissing;6;0;8;12;100;0;4;6;6;6;6;66,67;100;100;100;100
1;SVM;2;transition;ActionExchange;9;0;8;12;100;0;7;9;9;9;9;77,78;100;100;100;100
