RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
7;StudentAttendanceSystem;state;1;21;39;8;42;100;10,46;8,44;0;4,04;15,43;15,43;26,79;22,94
7;StudentAttendanceSystem;transition;1;21;39;14;38;100;3,8;17,53;0;1,51;16,43;16,43;25,39;22,84
7;StudentAttendanceSystem;pair;1;21;39;36;194;100;3,14;3,49;10,47;2,74;17,43;18,43;27,46;19,83
7;StudentAttendanceSystem;state;2;26;48;11;58;100;1,71;1,62;0;0,66;18,43;18,43;5,31;3,99
7;StudentAttendanceSystem;transition;2;26;48;18;47;100;1,69;3,41;0;0,79;19,43;19,43;7,17;5,89
7;StudentAttendanceSystem;pair;2;26;48;40;212;100;1,27;0,65;4,79;1,36;20,43;21,43;11,28;8,07
7;StudentAttendanceSystem;state;3;31;62;14;76;100;1,13;9,23;0;0,67;24,59;5,59;12,42;11,03
7;StudentAttendanceSystem;transition;3;31;62;21;61;100;0,97;3,49;0;0,71;6,59;6,59;6,29;5,18
7;StudentAttendanceSystem;pair;3;31;62;50;293;100;1,19;0,87;7,5;1,37;8,59;8,59;15,2;10,94
7;StudentAttendanceSystem;state;4;22;40;9;49;100;1,01;1,19;0;0,29;9,59;9,59;3,58;2,49
7;StudentAttendanceSystem;transition;4;22;40;13;39;100;1;2,54;0;0,43;10,59;10,59;5;3,98
7;StudentAttendanceSystem;pair;4;22;40;38;214;100;0,81;0,48;3,84;0,9;11,59;11,59;8,63;6,04
7;StudentAttendanceSystem;state;5;30;60;13;73;100;1,05;1,55;0;0,44;12,59;12,59;4;3,04
7;StudentAttendanceSystem;transition;5;30;60;20;59;100;1,15;3,4;0;0,63;13,59;13,59;6,3;5,18
7;StudentAttendanceSystem;pair;5;30;60;52;300;100;1,09;0,79;5,63;0,7;14,59;15,59;11,72;8,22
7;StudentAttendanceSystem;state;6;25;51;11;60;100;1,01;1,13;0;0,2;16,59;16,59;2,94;2,33
7;StudentAttendanceSystem;transition;6;25;51;15;51;100;0,87;2;0;0,18;16,59;17,59;3,64;3,06
7;StudentAttendanceSystem;pair;6;25;51;48;280;100;0,6;0,48;2,73;0,46;18,59;19,59;6,79;4,26
7;StudentAttendanceSystem;state;7;11;17;4;17;100;0,36;0,35;0;0,06;19,59;19,59;1,24;0,77
7;StudentAttendanceSystem;transition;7;11;17;5;17;100;0,47;0,65;0;0,08;19,59;19,59;1,66;1,2
7;StudentAttendanceSystem;pair;7;11;17;16;66;100;0,41;0,17;0,87;0,11;20,59;20,59;2,66;1,56
7;StudentAttendanceSystem;state;8;30;60;13;70;100;0,82;1,04;0;0,17;21,59;21,59;2,57;2,04
7;StudentAttendanceSystem;transition;8;30;60;22;59;100;0,76;2,73;0;0,36;22,59;22,59;4,62;3,85
7;StudentAttendanceSystem;pair;8;30;60;54;306;100;0,98;0,66;4,19;0,72;23,59;24,59;9,38;6,55
7;StudentAttendanceSystem;state;9;18;33;7;36;100;0,64;0,69;0;0,12;25,59;25,59;1,9;1,45
7;StudentAttendanceSystem;transition;9;18;33;11;33;100;0,54;1,25;0;0,17;25,59;25,59;2,44;1,95
7;StudentAttendanceSystem;pair;9;18;33;29;159;100;0,62;0,31;1,72;0,35;26,59;26,59;4,55;3,01
7;StudentAttendanceSystem;state;10;13;21;6;25;100;0,5;0,57;0;0,07;27,59;27,59;1,58;1,14
7;StudentAttendanceSystem;transition;10;13;21;7;21;100;0,44;0,79;0;0,08;27,59;27,59;1,73;1,31
7;StudentAttendanceSystem;pair;10;13;21;18;77;100;0,4;0,16;0,8;0,19;28,59;28,59;2,66;1,55
7;StudentAttendanceSystem;state;11;22;38;9;50;100;0,56;0,91;0;0,15;29,59;29,59;2,09;1,62
7;StudentAttendanceSystem;transition;11;22;38;12;37;100;0,58;1,37;0;0,31;29,59;29,59;2,9;2,27
7;StudentAttendanceSystem;pair;11;22;38;31;168;100;0,83;0,33;1,8;0,57;30,59;31,59;5,21;3,53
7;StudentAttendanceSystem;state;12;24;44;10;56;100;0,8;1,07;0;0,2;31,59;31,59;2,55;2,07
7;StudentAttendanceSystem;transition;12;24;44;14;43;100;0,85;1,94;0;0,31;32,59;32,59;3,69;3,1
7;StudentAttendanceSystem;pair;12;24;44;37;211;100;0,78;0,5;2,66;0,68;33,59;34,59;6,84;4,62
