RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;StudentAttendanceSystem;1;state;TransitionMissing;38;0;42;78;100;0;8;14;17;19;26;21,05;36,84;44,74;50;68,42
1;StudentAttendanceSystem;1;state;ActionExchange;95;0;42;78;100;0;19;42;51;57;72;20;44,21;53,68;60;75,79
1;StudentAttendanceSystem;1;state;StateMissing;20;0;42;78;100;0;5;9;11;13;17;25;45;55;65;85
1;StudentAttendanceSystem;1;state;TransitionDestinationExchange;92;22;42;78;100;0;11;24;31;36;48;15,71;34,29;44,29;51,43;68,57
1;StudentAttendanceSystem;1;transition;TransitionMissing;38;0;84;78;100;0;14;20;22;24;33;36,84;52,63;57,89;63,16;86,84
1;StudentAttendanceSystem;1;transition;ActionExchange;95;0;84;78;100;0;36;60;64;72;87;37,89;63,16;67,37;75,79;91,58
1;StudentAttendanceSystem;1;transition;StateMissing;20;0;84;78;100;0;9;13;14;16;20;45;65;70;80;100
1;StudentAttendanceSystem;1;transition;TransitionDestinationExchange;92;22;84;78;100;0;23;38;42;48;60;32,86;54,29;60;68,57;85,71
1;StudentAttendanceSystem;1;pair;TransitionMissing;38;0;194;78;100;0;19;26;29;31;36;50;68,42;76,32;81,58;94,74
1;StudentAttendanceSystem;1;pair;ActionExchange;95;0;194;78;100;0;57;76;82;87;93;60;80;86,32;91,58;97,89
1;StudentAttendanceSystem;1;pair;StateMissing;20;0;194;78;100;0;12;16;17;19;20;60;80;85;95;100
1;StudentAttendanceSystem;1;pair;TransitionDestinationExchange;92;22;194;78;100;0;39;51;55;60;68;55,71;72,86;78,57;85,71;97,14
1;StudentAttendanceSystem;2;state;TransitionMissing;39;0;46;80;100;0;10;18;20;22;28;25,64;46,15;51,28;56,41;71,79
1;StudentAttendanceSystem;2;state;ActionExchange;95;0;46;80;100;0;24;51;59;65;80;25,26;53,68;62,11;68,42;84,21
