RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
11;Syngovia;state;1;74;271;18;184;100;37,6;20,18;0;4,83;20,27;21,27;67,64;62,61
11;Syngovia;transition;1;74;271;154;270;100;6,96;76,94;0;8,64;29;12;95,74;92,54
11;Syngovia;pair;1;74;271;442;4159;100;3,28;11,69;316,93;20,44;43;51;391,02;352,34
11;Syngovia;state;2;70;274;18;180;100;5,79;5,79;0;0,92;53;53;13,86;12,51
11;Syngovia;transition;2;70;274;163;273;100;4,73;47,86;0;3,72;58,02;12,02;60,38;56,32
11;Syngovia;pair;2;70;274;416;3795;100;4,82;7,17;219,61;8,55;39,02;47,02;260,44;240,16
11;Syngovia;state;3;63;231;16;219;100;3,64;4,97;0;0,64;48,02;49,02;10,78;9,26
11;Syngovia;transition;3;63;231;126;230;100;3,47;37,4;0;4,42;54,02;56,02;48,13;45,29
11;Syngovia;pair;3;63;231;313;4142;100;3,75;5,13;216,44;8,72;76,02;82,02;248,06;234,04
11;Syngovia;state;4;74;283;18;184;100;9,81;6,01;0;0,55;9,6;9,6;17,71;16,37
11;Syngovia;transition;4;74;283;166;282;100;3,89;31,78;0;3,82;15,6;17,6;41,79;39,49
11;Syngovia;pair;4;74;283;477;4486;100;3,82;8,09;213,37;5,92;50,6;56,6;245,33;231,2
11;Syngovia;state;5;59;227;16;155;100;1,68;3,05;0;0,27;58,6;58,6;5,58;5
11;Syngovia;transition;5;59;227;126;226;100;1,6;16,69;0;2,37;63,6;64,6;22,4;20,66
11;Syngovia;pair;5;59;227;320;2939;100;2,83;4,17;127,37;7,23;83,6;88,6;151,55;141,6
11;Syngovia;state;6;63;235;16;159;100;3,85;5,62;0;0,53;89,6;90,6;11,06;10
11;Syngovia;transition;6;63;235;128;234;100;3,65;26,02;0;3,12;94,6;96,6;35,28;32,79
11;Syngovia;pair;6;63;235;372;3509;100;3,3;7,15;197,1;10,53;120,6;16,32;232,83;218,08
11;Syngovia;state;7;63;231;16;219;100;4,38;6,09;0;0,65;18,32;18,32;12,28;11,11
11;Syngovia;transition;7;63;231;126;230;100;4,35;42,28;0;4,55;23,32;25,32;54,43;51,18
11;Syngovia;pair;7;63;231;313;4142;100;4,3;7,23;262,01;9,49;45,32;51,32;296,23;283,03
11;Syngovia;state;8;74;274;18;184;100;3,77;6,1;0;0,59;53,32;54,32;11,82;10,46
11;Syngovia;transition;8;74;274;157;273;100;4,73;32,57;0;4,98;59,32;61,32;44,61;42,27
11;Syngovia;pair;8;74;274;450;4225;100;3,71;8,64;249,35;6,31;90,32;97,32;282,12;268,02
11;Syngovia;state;9;70;265;18;180;100;3,16;3,96;0;0,4;99,32;99,32;8,48;7,52
11;Syngovia;transition;9;70;265;154;264;100;3,09;21,23;0;2,19;104,32;106,32;28,87;26,51
11;Syngovia;pair;9;70;265;384;3542;100;3,02;5,51;151,57;5,71;130,32;135,32;175,03;165,8
11;Syngovia;state;10;74;281;18;252;100;3,66;4,46;0;0,58;137,32;137,32;9,78;8,71
11;Syngovia;transition;10;74;281;166;280;100;3,31;53,31;0;4,8;144,32;146,32;64,59;61,43
11;Syngovia;pair;10;74;281;418;5523;100;4,51;7,76;445,3;17,41;176,32;182,67;489,74;474,98
11;Syngovia;state;11;74;273;18;252;100;3,89;4;0;0,57;12,67;12,67;9,58;8,46
11;Syngovia;transition;11;74;273;158;272;100;3,56;42,32;0;3,65;19,67;21,67;52,52;49,52
11;Syngovia;pair;11;74;273;393;5200;100;4,04;7,47;296,21;10,52;48,67;56,67;330,31;318,23
11;Syngovia;state;12;74;273;18;184;100;3,61;4,58;0;0,53;58,67;58,67;9,51;8,72
11;Syngovia;transition;12;74;273;156;272;100;3,19;26,45;0;3,12;64,67;65,67;34,84;32,76
11;Syngovia;pair;12;74;273;445;4205;100;3,89;7,69;210,48;7,54;95,67;101,67;239,17;229,59
11;Syngovia;state;13;74;269;18;252;100;3,19;4,34;0;0,61;103,67;104,67;9,12;8,15
11;Syngovia;transition;13;74;269;154;268;100;3,73;43,44;0;3,65;110,67;112,67;53,51;50,82
11;Syngovia;pair;13;74;269;381;5028;100;4,11;7,57;310,17;6,41;138,67;145,67;336,99;328,26
11;Syngovia;state;14;74;271;18;252;100;3,21;3,91;0;0,54;147,67;147,67;8,72;7,66
11;Syngovia;transition;14;74;271;156;270;100;2,42;41,83;0;3,1;154,67;156,67;49,7;47,34
11;Syngovia;pair;14;74;271;387;5108;100;3,28;6,85;270,8;12,73;182,67;186,7;303,52;293,66
11;Syngovia;state;15;74;283;18;184;100;3,31;4,96;0;0,48;14,7;14,7;9,64;8,75
11;Syngovia;transition;15;74;283;166;282;100;3,49;23,77;0;1,92;20,7;21,7;31;29,19
11;Syngovia;pair;15;74;283;476;4483;100;3,09;7,77;228,67;6,9;53,7;60,7;254,41;246,43
11;Syngovia;state;16;70;269;18;180;100;2,78;3,69;0;0,52;62,7;62,7;7,89;6,99
11;Syngovia;transition;16;70;269;158;268;100;2,21;16,82;0;2,31;67,7;69,7;23,23;21,33
11;Syngovia;pair;16;70;269;395;3647;100;3,39;7,82;210,57;9,05;93,7;99,7;240,21;230,83
11;Syngovia;state;17;63;231;16;219;100;3,1;4,21;0;0,59;101,7;101,7;8,74;7,9
11;Syngovia;transition;17;63;231;126;230;100;3,09;34,18;0;4;106,7;108,7;43,27;41,27
11;Syngovia;pair;17;63;231;313;4142;100;3,29;6,18;231,74;9,14;127,7;133,7;259,09;250,35
11;Syngovia;state;18;70;266;18;180;100;3,37;4,39;0;0,59;135,7;135,7;9,31;8,35
11;Syngovia;transition;18;70;266;155;265;100;3,15;28,45;0;3,77;141,7;142,7;37,17;35,37
11;Syngovia;pair;18;70;266;387;3566;100;3,41;7,96;173,54;6,82;166,7;171,7;199,89;191,73
11;Syngovia;state;19;74;273;18;184;100;2,76;3,68;0;0,48;173,7;173,7;7,71;6,93
11;Syngovia;transition;19;74;273;156;272;100;2,76;24,42;0;3,4;179,7;180,7;32,22;30,58
11;Syngovia;pair;19;74;273;448;4211;100;2,82;7,91;210,3;6,75;187,7;39,52;235,36;227,78
11;Syngovia;state;20;59;227;16;155;100;1,84;2,73;0;0,39;41,52;41,52;5,89;4,96
11;Syngovia;transition;20;59;227;126;226;100;2,06;13,88;0;2,18;45,52;46,52;19,57;18,12
11;Syngovia;pair;20;59;227;320;2939;100;1,98;5,65;99,49;5,41;65,52;69,52;119,01;112,52
11;Syngovia;state;21;70;275;18;180;100;2,96;4,49;0;0,53;71,52;71,52;8,86;7,97
11;Syngovia;transition;21;70;275;164;274;100;2,9;26,39;0;3,12;77,52;78,52;34,47;32,41
11;Syngovia;pair;21;70;275;418;3820;100;2,78;7,86;146,95;6,88;105,52;110,52;172,14;164,47
11;Syngovia;state;22;63;235;16;159;100;2,51;3,41;0;0,41;112,52;112,52;7,42;6,33
11;Syngovia;transition;22;63;235;128;234;100;2,36;17,63;0;1,85;117,52;118,52;23,4;21,84
11;Syngovia;pair;22;63;235;372;3509;100;2,5;5,93;153,07;5,06;141,52;146,52;172,42;166,57
11;Syngovia;state;23;63;231;16;219;100;2,07;2,96;0;0,34;148,52;148,52;6;5,37
11;Syngovia;transition;23;63;231;126;230;100;2;23,25;0;3,24;153,52;155,52;30,19;28,49
11;Syngovia;pair;23;63;231;313;4142;100;2,72;6,03;189,44;6,18;175,52;180,52;210,28;204,37
11;Syngovia;state;24;70;267;18;180;100;3,01;3,84;0;0,48;182,52;183,52;7,96;7,33
11;Syngovia;transition;24;70;267;156;266;100;2,64;25,66;0;2,35;186,86;11,86;32,47;30,65
11;Syngovia;pair;24;70;267;390;3598;100;2,28;6,3;147,84;5,68;35,86;41,86;168,1;162,1
11;Syngovia;state;25;74;270;18;252;100;2,1;3,17;0;0,51;43,86;43,86;6,54;5,78
11;Syngovia;transition;25;74;270;155;269;100;2,44;36,38;0;3,04;49,86;51,86;42,97;41,86
11;Syngovia;pair;25;74;270;384;5068;100;2,24;6,66;300,1;6,75;77,86;84,86;322,73;315,76
11;Syngovia;state;26;74;269;18;252;100;2,23;3,62;0;0,5;86,86;86,86;7,01;6,35
11;Syngovia;transition;26;74;269;154;268;100;2,18;35,22;0;3,22;92,86;94,86;42,78;40,62
11;Syngovia;pair;26;74;269;381;5028;100;2,28;5,6;267,54;6,26;120,86;127,86;287,16;281,68
11;Syngovia;state;27;74;270;18;252;100;1,7;2,6;0;0,35;129,86;129,86;5,02;4,65
11;Syngovia;transition;27;74;270;155;269;100;1,97;36,27;0;3,93;135,86;137,86;43,8;42,18
11;Syngovia;pair;27;74;270;384;5068;100;3;5,07;243,31;7,18;163,86;170,86;265,86;258,56
11;Syngovia;state;28;74;279;18;252;100;2,66;3,04;0;0,46;172,86;173,86;6,91;6,16
11;Syngovia;transition;28;74;279;164;278;100;2,17;37,94;0;3,5;179,86;181,86;45,1;43,62
11;Syngovia;pair;28;74;279;411;5440;100;2,64;6,62;303,04;6,83;187,86;40,63;326,35;319,13
11;Syngovia;state;29;74;277;18;252;100;2,35;3;0;0,4;42,63;43,63;6,27;5,75
11;Syngovia;transition;29;74;277;162;276;100;2,55;36,43;0;3,33;49,63;51,63;44,35;42,31
11;Syngovia;pair;29;74;277;405;5364;100;2,58;5,83;310,81;6,56;79,63;87,63;333,27;325,79
11;Syngovia;state;30;70;264;18;180;100;1,99;2,43;0;0,32;89,63;89,63;5,22;4,73
11;Syngovia;transition;30;70;264;153;263;100;1,71;17,28;0;2,04;94,63;96,63;22,02;21,03
11;Syngovia;pair;30;70;264;382;3517;100;2,2;3,93;114,4;4,9;119,63;124,63;131,01;125,43
11;Syngovia;state;31;63;235;16;159;100;1,84;2,02;0;0,31;126,63;126,63;4,6;4,17
