RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%);Executed Transitions Total;Efficiency (killed/transition)
1;Syngovia;81;state;TransitionMissing;281;0;99;182;35,23;252;0,39
1;Syngovia;81;transition;TransitionMissing;281;0;281;0;100;2064;0,14
1;Syngovia;81;pair;TransitionMissing;281;0;281;0;100;5565;0,05
1;Syngovia;81;family-baseline;TransitionMissing;281;0;0;281;0;0;0
1;Syngovia;81;state;ActionExchange;1968;0;870;1098;44,21;252;3,45
1;Syngovia;81;transition;ActionExchange;1968;0;1968;0;100;2064;0,95
1;Syngovia;81;pair;ActionExchange;1968;0;1968;0;100;5565;0,35
1;Syngovia;81;family-baseline;ActionExchange;1968;0;0;1968;0;0;0
1;Syngovia;81;state;StateMissing;73;0;73;0;100;252;0,29
1;Syngovia;81;transition;StateMissing;73;0;73;0;100;2064;0,04
1;Syngovia;81;pair;StateMissing;73;0;73;0;100;5565;0,01
1;Syngovia;81;family-baseline;StateMissing;73;0;0;73;0;0;0
1;Syngovia;81;state;TransitionDestinationExchange;1239;512;293;434;40,3;252;1,16
1;Syngovia;81;transition;TransitionDestinationExchange;1239;512;675;52;92,85;2064;0,33
1;Syngovia;81;pair;TransitionDestinationExchange;1239;512;727;0;100;5565;0,13
1;Syngovia;81;family-baseline;TransitionDestinationExchange;1239;512;0;727;0;0;0
1;Syngovia;82;state;TransitionMissing;268;0;99;169;36,94;252;0,39
1;Syngovia;82;transition;TransitionMissing;268;0;268;0;100;1895;0,14
1;Syngovia;82;pair;TransitionMissing;268;0;268;0;100;5028;0,05
1;Syngovia;82;family-baseline;TransitionMissing;268;0;0;268;0;0;0
1;Syngovia;82;state;ActionExchange;1890;0;850;1040;44,97;252;3,37
1;Syngovia;82;transition;ActionExchange;1890;0;1890;0;100;1895;1
1;Syngovia;82;pair;ActionExchange;1890;0;1890;0;100;5028;0,38
1;Syngovia;82;family-baseline;ActionExchange;1890;0;0;1890;0;0;0
1;Syngovia;82;state;StateMissing;73;0;73;0;100;252;0,29
1;Syngovia;82;transition;StateMissing;73;0;73;0;100;1895;0,04
1;Syngovia;82;pair;StateMissing;73;0;73;0;100;5028;0,01
1;Syngovia;82;family-baseline;StateMissing;73;0;0;73;0;0;0
1;Syngovia;82;state;TransitionDestinationExchange;1200;499;293;408;41,8;252;1,16
1;Syngovia;82;transition;TransitionDestinationExchange;1200;499;649;52;92,58;1895;0,34
1;Syngovia;82;pair;TransitionDestinationExchange;1200;499;701;0;100;5028;0,14
1;Syngovia;82;family-baseline;TransitionDestinationExchange;1200;499;0;701;0;0;0
1;Syngovia;83;state;TransitionMissing;226;0;82;144;36,28;155;0,53
1;Syngovia;83;transition;TransitionMissing;226;0;226;0;100;1045;0,22
1;Syngovia;83;pair;TransitionMissing;226;0;226;0;100;2939;0,08
1;Syngovia;83;family-baseline;TransitionMissing;226;0;0;226;0;0;0
1;Syngovia;83;state;ActionExchange;1660;0;731;929;44,04;155;4,72
1;Syngovia;83;transition;ActionExchange;1660;0;1660;0;100;1045;1,59
1;Syngovia;83;pair;ActionExchange;1660;0;1660;0;100;2939;0,56
1;Syngovia;83;family-baseline;ActionExchange;1660;0;0;1660;0;0;0
1;Syngovia;83;state;StateMissing;58;0;58;0;100;155;0,37
1;Syngovia;83;transition;StateMissing;58;0;58;0;100;1045;0,06
1;Syngovia;83;pair;StateMissing;58;0;58;0;100;2939;0,02
1;Syngovia;83;family-baseline;StateMissing;58;0;0;58;0;0;0
