RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
3;Tesla;state;1;27;29;2;37;100;21,95;10,37;0;4,14;16;16;40,15;36,46
3;Tesla;transition;1;27;29;3;29;100;5,39;18,69;0;1,45;17;17;28,18;25,53
3;Tesla;pair;1;27;29;3;53;100;2,88;3,95;2,91;0,74;18;18;17,38;10,49
3;Tesla;state;2;31;43;3;66;100;2,83;16,94;0;0,91;21,33;6,33;22,31;20,68
3;Tesla;transition;2;31;43;9;43;100;2,21;8,38;0;3,07;7,33;7,33;15,61;13,66
3;Tesla;pair;2;31;43;15;379;100;1,66;0,49;9,36;3,44;9,33;10,33;19,41;14,95
3;Tesla;state;3;27;29;2;34;100;1,33;0,94;0;0,19;10,33;10,33;3,33;2,46
3;Tesla;transition;3;27;29;3;29;100;1,16;2,11;0;0,25;11,33;11,33;4,34;3,52
3;Tesla;pair;3;27;29;4;78;100;0,8;0,19;1,5;0,37;12,33;12,33;4,68;2,86
3;Tesla;state;4;30;41;2;40;100;1,09;1,11;0;0,14;13,33;13,33;2,82;2,34
3;Tesla;transition;4;30;41;9;41;100;0,84;3,8;0;1,07;14,33;14,33;6,49;5,71
3;Tesla;pair;4;30;41;15;378;100;1,11;0,41;5,63;1,45;15,33;16,33;11,41;8,6
3;Tesla;state;5;29;36;3;64;100;1,06;1,48;0;0,3;17,33;17,33;3,59;2,84
3;Tesla;transition;5;29;36;7;36;100;1,48;3,94;0;0,83;18,33;18,33;8,08;6,24
3;Tesla;pair;5;29;36;9;214;100;0,86;0,3;2,96;0,8;19,33;20,33;7,42;4,91
3;Tesla;state;6;28;34;4;88;100;0,94;1,03;0;0,36;20,33;20,33;3,09;2,34
3;Tesla;transition;6;28;34;6;34;100;0,97;2,46;0;0,67;21,33;21,33;4,76;4,1
3;Tesla;pair;6;28;34;9;213;100;1,06;0,37;2,75;0,84;23,33;23,33;7,54;5,01
3;Tesla;state;7;27;29;2;37;100;1,05;0,83;0;0,16;23,33;24,33;2,57;2,04
3;Tesla;transition;7;27;29;3;29;100;0,74;1,53;0;0,34;24,33;24,33;3,15;2,61
3;Tesla;pair;7;27;29;3;53;100;0,95;0,23;0,92;0,16;25,33;25,33;3,98;2,26
3;Tesla;state;8;29;36;3;64;100;0,67;1,04;0;0,14;26,33;26,33;2,23;1,84
3;Tesla;transition;8;29;36;7;36;100;0,82;2,5;0;0,43;27,33;27,33;4,37;3,75
3;Tesla;pair;8;29;36;9;214;100;1,02;0,34;2,62;0,46;28,33;29,33;6,68;4,43
3;Tesla;state;9;29;39;3;64;100;0,81;0,94;0;0,29;29,33;29,33;2,56;2,05
3;Tesla;transition;9;29;39;9;39;100;0,8;2,8;0;0,55;30,33;31,33;4,69;4,15
3;Tesla;pair;9;29;39;15;377;100;0,99;0,92;6,38;1,26;32,33;33,33;12,62;9,56
3;Tesla;state;10;29;34;3;64;100;1,09;1,37;0;0,21;33,33;33,33;3,27;2,67
3;Tesla;transition;10;29;34;5;34;100;1,27;2,95;0;0,51;34,33;34,33;5,58;4,72
3;Tesla;pair;10;29;34;5;107;100;1,27;0,34;1,82;0,39;35,33;36,33;6,3;3,81
3;Tesla;state;11;29;36;3;64;100;1,35;1,48;0;0,21;36,33;36,33;3,82;3,04
3;Tesla;transition;11;29;36;7;36;100;1,3;3,49;0;0,68;37,33;37,33;6,58;5,47
3;Tesla;pair;11;29;36;9;214;100;1,29;0,37;3,02;0,75;38,33;39,33;8,36;5,43
3;Tesla;state;12;29;36;3;64;100;1,3;1,47;0;0,21;40,33;40,33;3,57;2,98
3;Tesla;transition;12;29;36;7;36;100;1,09;3,56;0;0,68;41,33;41,33;6,27;5,34
3;Tesla;pair;12;29;36;9;214;100;1,14;0,31;2,86;0,64;42,33;42,33;7,61;4,96
3;Tesla;state;13;31;43;3;66;100;1,21;1,31;0;0,23;43,33;43,33;3,37;2,75
3;Tesla;transition;13;31;43;10;43;100;1,11;4,38;0;0,89;44,33;44,33;7,23;6,38
3;Tesla;pair;13;31;43;15;379;100;1,13;0,38;4,98;1,33;46,33;47,33;11,11;7,81
3;Tesla;state;14;30;41;3;65;100;1,15;1,24;0;0,22;47,33;47,33;3,17;2,61
3;Tesla;transition;14;30;41;9;41;100;0,99;3,49;0;0,83;48,33;49,33;6,12;5,32
3;Tesla;pair;14;30;41;15;378;100;0,85;0,38;4,2;0,95;50,33;51,33;8,7;6,37
3;Tesla;state;15;27;30;3;62;100;0,99;1,06;0;0,2;51,33;51,33;2,88;2,24
3;Tesla;transition;15;27;30;4;30;100;3,51;1,71;0;0,25;6,29;6,29;6,09;5,47
3;Tesla;pair;15;27;30;5;105;100;0,68;0,19;1,1;0,29;7,29;7,29;3,9;2,25
3;Tesla;state;16;30;41;3;65;100;0,8;1,05;0;0,23;8,29;8,29;2,6;2,09
3;Tesla;transition;16;30;41;10;41;100;0,86;3,2;0;0,66;9,29;9,29;5,58;4,72
3;Tesla;pair;16;30;41;15;378;100;0,83;0,29;4,2;0,8;11,29;12,29;8,46;6,12
3;Tesla;state;17;29;34;2;39;100;0,75;0,79;0;0,1;12,29;12,29;2,06;1,64
3;Tesla;transition;17;29;34;4;34;100;0,65;1,68;0;0,3;13,29;13,29;3,37;2,64
3;Tesla;pair;17;29;34;5;107;100;0,77;0,21;1,07;0,26;14,29;14,29;3,97;2,3
