RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%)
1;Tesla;1;state;TransitionMissing;29;0;28;1;96,55
1;Tesla;1;transition;TransitionMissing;29;0;29;0;100
1;Tesla;1;pair;TransitionMissing;29;0;29;0;100
1;Tesla;1;family-baseline;TransitionMissing;29;0;0;29;0
1;Tesla;1;state;ActionExchange;33;0;32;1;96,97
1;Tesla;1;transition;ActionExchange;33;0;33;0;100
1;Tesla;1;pair;ActionExchange;33;0;33;0;100
1;Tesla;1;family-baseline;ActionExchange;33;0;0;33;0
1;Tesla;1;state;StateMissing;26;0;26;0;100
1;Tesla;1;transition;StateMissing;26;0;26;0;100
1;Tesla;1;pair;StateMissing;26;0;26;0;100
1;Tesla;1;family-baseline;StateMissing;26;0;0;26;0
1;Tesla;1;state;TransitionDestinationExchange;33;1;30;2;93,75
1;Tesla;1;transition;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;1;pair;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;1;family-baseline;TransitionDestinationExchange;33;1;0;32;0
1;Tesla;2;state;TransitionMissing;43;0;34;9;79,07
1;Tesla;2;transition;TransitionMissing;43;0;43;0;100
1;Tesla;2;pair;TransitionMissing;43;0;43;0;100
1;Tesla;2;family-baseline;TransitionMissing;43;0;0;43;0
1;Tesla;2;state;ActionExchange;81;0;59;22;72,84
1;Tesla;2;transition;ActionExchange;81;0;81;0;100
1;Tesla;2;pair;ActionExchange;81;0;81;0;100
1;Tesla;2;family-baseline;ActionExchange;81;0;0;81;0
1;Tesla;2;state;StateMissing;30;0;30;0;100
1;Tesla;2;transition;StateMissing;30;0;30;0;100
1;Tesla;2;pair;StateMissing;30;0;30;0;100
1;Tesla;2;family-baseline;StateMissing;30;0;0;30;0
1;Tesla;2;state;TransitionDestinationExchange;81;11;43;27;61,43
1;Tesla;2;transition;TransitionDestinationExchange;81;11;67;3;95,71
1;Tesla;2;pair;TransitionDestinationExchange;81;11;70;0;100
1;Tesla;2;family-baseline;TransitionDestinationExchange;81;11;0;70;0
1;Tesla;3;state;TransitionMissing;29;0;27;2;93,1
1;Tesla;3;transition;TransitionMissing;29;0;29;0;100
1;Tesla;3;pair;TransitionMissing;29;0;29;0;100
1;Tesla;3;family-baseline;TransitionMissing;29;0;0;29;0
1;Tesla;3;state;ActionExchange;33;0;31;2;93,94
1;Tesla;3;transition;ActionExchange;33;0;33;0;100
1;Tesla;3;pair;ActionExchange;33;0;33;0;100
1;Tesla;3;family-baseline;ActionExchange;33;0;0;33;0
1;Tesla;3;state;StateMissing;26;0;26;0;100
1;Tesla;3;transition;StateMissing;26;0;26;0;100
1;Tesla;3;pair;StateMissing;26;0;26;0;100
1;Tesla;3;family-baseline;StateMissing;26;0;0;26;0
1;Tesla;3;state;TransitionDestinationExchange;33;1;28;4;87,5
1;Tesla;3;transition;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;3;pair;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;3;family-baseline;TransitionDestinationExchange;33;1;0;32;0
1;Tesla;4;state;TransitionMissing;41;0;31;10;75,61
1;Tesla;4;transition;TransitionMissing;41;0;41;0;100
1;Tesla;4;pair;TransitionMissing;41;0;41;0;100
1;Tesla;4;family-baseline;TransitionMissing;41;0;0;41;0
1;Tesla;4;state;ActionExchange;77;0;52;25;67,53
1;Tesla;4;transition;ActionExchange;77;0;77;0;100
1;Tesla;4;pair;ActionExchange;77;0;77;0;100
1;Tesla;4;family-baseline;ActionExchange;77;0;0;77;0
1;Tesla;4;state;StateMissing;29;0;29;0;100
1;Tesla;4;transition;StateMissing;29;0;29;0;100
1;Tesla;4;pair;StateMissing;29;0;29;0;100
1;Tesla;4;family-baseline;StateMissing;29;0;0;29;0
1;Tesla;4;state;TransitionDestinationExchange;77;11;39;27;59,09
1;Tesla;4;transition;TransitionDestinationExchange;77;11;63;3;95,45
1;Tesla;4;pair;TransitionDestinationExchange;77;11;66;0;100
1;Tesla;4;family-baseline;TransitionDestinationExchange;77;11;0;66;0
1;Tesla;5;state;TransitionMissing;36;0;31;5;86,11
1;Tesla;5;transition;TransitionMissing;36;0;36;0;100
1;Tesla;5;pair;TransitionMissing;36;0;36;0;100
1;Tesla;5;family-baseline;TransitionMissing;36;0;0;36;0
1;Tesla;5;state;ActionExchange;55;0;46;9;83,64
1;Tesla;5;transition;ActionExchange;55;0;55;0;100
1;Tesla;5;pair;ActionExchange;55;0;55;0;100
1;Tesla;5;family-baseline;ActionExchange;55;0;0;55;0
1;Tesla;5;state;StateMissing;28;0;28;0;100
1;Tesla;5;transition;StateMissing;28;0;28;0;100
1;Tesla;5;pair;StateMissing;28;0;28;0;100
1;Tesla;5;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;5;state;TransitionDestinationExchange;55;5;35;15;70
1;Tesla;5;transition;TransitionDestinationExchange;55;5;49;1;98
1;Tesla;5;pair;TransitionDestinationExchange;55;5;50;0;100
1;Tesla;5;family-baseline;TransitionDestinationExchange;55;5;0;50;0
1;Tesla;6;state;TransitionMissing;34;0;30;4;88,24
1;Tesla;6;transition;TransitionMissing;34;0;34;0;100
1;Tesla;6;pair;TransitionMissing;34;0;34;0;100
1;Tesla;6;family-baseline;TransitionMissing;34;0;0;34;0
1;Tesla;6;state;ActionExchange;51;0;44;7;86,27
1;Tesla;6;transition;ActionExchange;51;0;51;0;100
1;Tesla;6;pair;ActionExchange;51;0;51;0;100
1;Tesla;6;family-baseline;ActionExchange;51;0;0;51;0
1;Tesla;6;state;StateMissing;27;0;27;0;100
1;Tesla;6;transition;StateMissing;27;0;27;0;100
1;Tesla;6;pair;StateMissing;27;0;27;0;100
1;Tesla;6;family-baseline;StateMissing;27;0;0;27;0
1;Tesla;6;state;TransitionDestinationExchange;51;5;35;11;76,09
1;Tesla;6;transition;TransitionDestinationExchange;51;5;45;1;97,83
1;Tesla;6;pair;TransitionDestinationExchange;51;5;46;0;100
1;Tesla;6;family-baseline;TransitionDestinationExchange;51;5;0;46;0
1;Tesla;7;state;TransitionMissing;29;0;28;1;96,55
1;Tesla;7;transition;TransitionMissing;29;0;29;0;100
1;Tesla;7;pair;TransitionMissing;29;0;29;0;100
1;Tesla;7;family-baseline;TransitionMissing;29;0;0;29;0
1;Tesla;7;state;ActionExchange;33;0;32;1;96,97
1;Tesla;7;transition;ActionExchange;33;0;33;0;100
1;Tesla;7;pair;ActionExchange;33;0;33;0;100
1;Tesla;7;family-baseline;ActionExchange;33;0;0;33;0
1;Tesla;7;state;StateMissing;26;0;26;0;100
1;Tesla;7;transition;StateMissing;26;0;26;0;100
1;Tesla;7;pair;StateMissing;26;0;26;0;100
1;Tesla;7;family-baseline;StateMissing;26;0;0;26;0
1;Tesla;7;state;TransitionDestinationExchange;33;1;30;2;93,75
1;Tesla;7;transition;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;7;pair;TransitionDestinationExchange;33;1;32;0;100
1;Tesla;7;family-baseline;TransitionDestinationExchange;33;1;0;32;0
1;Tesla;8;state;TransitionMissing;36;0;31;5;86,11
1;Tesla;8;transition;TransitionMissing;36;0;36;0;100
1;Tesla;8;pair;TransitionMissing;36;0;36;0;100
1;Tesla;8;family-baseline;TransitionMissing;36;0;0;36;0
1;Tesla;8;state;ActionExchange;55;0;46;9;83,64
1;Tesla;8;transition;ActionExchange;55;0;55;0;100
1;Tesla;8;pair;ActionExchange;55;0;55;0;100
1;Tesla;8;family-baseline;ActionExchange;55;0;0;55;0
1;Tesla;8;state;StateMissing;28;0;28;0;100
1;Tesla;8;transition;StateMissing;28;0;28;0;100
1;Tesla;8;pair;StateMissing;28;0;28;0;100
1;Tesla;8;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;8;state;TransitionDestinationExchange;55;5;35;15;70
1;Tesla;8;transition;TransitionDestinationExchange;55;5;49;1;98
1;Tesla;8;pair;TransitionDestinationExchange;55;5;50;0;100
1;Tesla;8;family-baseline;TransitionDestinationExchange;55;5;0;50;0
1;Tesla;9;state;TransitionMissing;39;0;30;9;76,92
1;Tesla;9;transition;TransitionMissing;39;0;39;0;100
1;Tesla;9;pair;TransitionMissing;39;0;39;0;100
1;Tesla;9;family-baseline;TransitionMissing;39;0;0;39;0
1;Tesla;9;state;ActionExchange;73;0;50;23;68,49
1;Tesla;9;transition;ActionExchange;73;0;73;0;100
1;Tesla;9;pair;ActionExchange;73;0;73;0;100
1;Tesla;9;family-baseline;ActionExchange;73;0;0;73;0
1;Tesla;9;state;StateMissing;28;0;28;0;100
1;Tesla;9;transition;StateMissing;28;0;28;0;100
1;Tesla;9;pair;StateMissing;28;0;28;0;100
1;Tesla;9;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;9;state;TransitionDestinationExchange;73;11;35;27;56,45
1;Tesla;9;transition;TransitionDestinationExchange;73;11;58;4;93,55
1;Tesla;9;pair;TransitionDestinationExchange;73;11;62;0;100
1;Tesla;9;family-baseline;TransitionDestinationExchange;73;11;0;62;0
1;Tesla;10;state;TransitionMissing;34;0;32;2;94,12
1;Tesla;10;transition;TransitionMissing;34;0;34;0;100
1;Tesla;10;pair;TransitionMissing;34;0;34;0;100
1;Tesla;10;family-baseline;TransitionMissing;34;0;0;34;0
1;Tesla;10;state;ActionExchange;45;0;42;3;93,33
1;Tesla;10;transition;ActionExchange;45;0;45;0;100
1;Tesla;10;pair;ActionExchange;45;0;45;0;100
1;Tesla;10;family-baseline;ActionExchange;45;0;0;45;0
1;Tesla;10;state;StateMissing;28;0;28;0;100
1;Tesla;10;transition;StateMissing;28;0;28;0;100
1;Tesla;10;pair;StateMissing;28;0;28;0;100
1;Tesla;10;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;10;state;TransitionDestinationExchange;45;2;38;5;88,37
1;Tesla;10;transition;TransitionDestinationExchange;45;2;43;0;100
1;Tesla;10;pair;TransitionDestinationExchange;45;2;43;0;100
1;Tesla;10;family-baseline;TransitionDestinationExchange;45;2;0;43;0
1;Tesla;11;state;TransitionMissing;36;0;31;5;86,11
1;Tesla;11;transition;TransitionMissing;36;0;36;0;100
1;Tesla;11;pair;TransitionMissing;36;0;36;0;100
1;Tesla;11;family-baseline;TransitionMissing;36;0;0;36;0
1;Tesla;11;state;ActionExchange;55;0;46;9;83,64
1;Tesla;11;transition;ActionExchange;55;0;55;0;100
1;Tesla;11;pair;ActionExchange;55;0;55;0;100
1;Tesla;11;family-baseline;ActionExchange;55;0;0;55;0
1;Tesla;11;state;StateMissing;28;0;28;0;100
1;Tesla;11;transition;StateMissing;28;0;28;0;100
1;Tesla;11;pair;StateMissing;28;0;28;0;100
1;Tesla;11;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;11;state;TransitionDestinationExchange;55;5;35;15;70
1;Tesla;11;transition;TransitionDestinationExchange;55;5;49;1;98
1;Tesla;11;pair;TransitionDestinationExchange;55;5;50;0;100
1;Tesla;11;family-baseline;TransitionDestinationExchange;55;5;0;50;0
1;Tesla;12;state;TransitionMissing;36;0;31;5;86,11
1;Tesla;12;transition;TransitionMissing;36;0;36;0;100
1;Tesla;12;pair;TransitionMissing;36;0;36;0;100
1;Tesla;12;family-baseline;TransitionMissing;36;0;0;36;0
1;Tesla;12;state;ActionExchange;55;0;46;9;83,64
1;Tesla;12;transition;ActionExchange;55;0;55;0;100
1;Tesla;12;pair;ActionExchange;55;0;55;0;100
1;Tesla;12;family-baseline;ActionExchange;55;0;0;55;0
1;Tesla;12;state;StateMissing;28;0;28;0;100
1;Tesla;12;transition;StateMissing;28;0;28;0;100
1;Tesla;12;pair;StateMissing;28;0;28;0;100
1;Tesla;12;family-baseline;StateMissing;28;0;0;28;0
1;Tesla;12;state;TransitionDestinationExchange;55;5;35;15;70
1;Tesla;12;transition;TransitionDestinationExchange;55;5;49;1;98
1;Tesla;12;pair;TransitionDestinationExchange;55;5;50;0;100
1;Tesla;12;family-baseline;TransitionDestinationExchange;55;5;0;50;0
1;Tesla;13;state;TransitionMissing;43;0;34;9;79,07
1;Tesla;13;transition;TransitionMissing;43;0;43;0;100
1;Tesla;13;pair;TransitionMissing;43;0;43;0;100
1;Tesla;13;family-baseline;TransitionMissing;43;0;0;43;0
1;Tesla;13;state;ActionExchange;81;0;59;22;72,84
1;Tesla;13;transition;ActionExchange;81;0;81;0;100
1;Tesla;13;pair;ActionExchange;81;0;81;0;100
1;Tesla;13;family-baseline;ActionExchange;81;0;0;81;0
1;Tesla;13;state;StateMissing;30;0;30;0;100
1;Tesla;13;transition;StateMissing;30;0;30;0;100
1;Tesla;13;pair;StateMissing;30;0;30;0;100
1;Tesla;13;family-baseline;StateMissing;30;0;0;30;0
1;Tesla;13;state;TransitionDestinationExchange;81;11;43;27;61,43
1;Tesla;13;transition;TransitionDestinationExchange;81;11;66;4;94,29
1;Tesla;13;pair;TransitionDestinationExchange;81;11;70;0;100
1;Tesla;13;family-baseline;TransitionDestinationExchange;81;11;0;70;0
1;Tesla;14;state;TransitionMissing;41;0;32;9;78,05
1;Tesla;14;transition;TransitionMissing;41;0;41;0;100
1;Tesla;14;pair;TransitionMissing;41;0;41;0;100
1;Tesla;14;family-baseline;TransitionMissing;41;0;0;41;0
1;Tesla;14;state;ActionExchange;77;0;55;22;71,43
1;Tesla;14;transition;ActionExchange;77;0;77;0;100
1;Tesla;14;pair;ActionExchange;77;0;77;0;100
1;Tesla;14;family-baseline;ActionExchange;77;0;0;77;0
1;Tesla;14;state;StateMissing;29;0;29;0;100
1;Tesla;14;transition;StateMissing;29;0;29;0;100
1;Tesla;14;pair;StateMissing;29;0;29;0;100
1;Tesla;14;family-baseline;StateMissing;29;0;0;29;0
1;Tesla;14;state;TransitionDestinationExchange;77;11;38;28;57,58
1;Tesla;14;transition;TransitionDestinationExchange;77;11;63;3;95,45
1;Tesla;14;pair;TransitionDestinationExchange;77;11;66;0;100
1;Tesla;14;family-baseline;TransitionDestinationExchange;77;11;0;66;0
1;Tesla;15;state;TransitionMissing;30;0;28;2;93,33
1;Tesla;15;transition;TransitionMissing;30;0;30;0;100
1;Tesla;15;pair;TransitionMissing;30;0;30;0;100
1;Tesla;15;family-baseline;TransitionMissing;30;0;0;30;0
1;Tesla;15;state;ActionExchange;37;0;34;3;91,89
1;Tesla;15;transition;ActionExchange;37;0;37;0;100
1;Tesla;15;pair;ActionExchange;37;0;37;0;100
1;Tesla;15;family-baseline;ActionExchange;37;0;0;37;0
1;Tesla;15;state;StateMissing;26;0;26;0;100
