RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;Tesla;201;state;TransitionMissing;43;0;66;86;100;0;27;32;33;34;36;62,79;74,42;76,74;79,07;83,72
1;Tesla;201;state;ActionExchange;81;0;66;86;100;0;42;53;56;60;67;51,85;65,43;69,14;74,07;82,72
1;Tesla;201;state;StateMissing;30;0;66;86;100;0;25;28;28;29;30;83,33;93,33;93,33;96,67;100
1;Tesla;201;state;TransitionDestinationExchange;81;11;66;86;100;0;34;41;43;46;54;48,57;58,57;61,43;65,71;77,14
1;Tesla;201;transition;TransitionMissing;43;0;266;86;100;0;33;37;38;39;41;76,74;86,05;88,37;90,7;95,35
1;Tesla;201;transition;ActionExchange;81;0;266;86;100;0;55;69;73;75;79;67,9;85,19;90,12;92,59;97,53
1;Tesla;201;transition;StateMissing;30;0;266;86;100;0;28;30;30;30;30;93,33;100;100;100;100
1;Tesla;201;transition;TransitionDestinationExchange;81;11;266;86;100;0;43;54;57;59;64;61,43;77,14;81,43;84,29;91,43
1;Tesla;201;pair;TransitionMissing;43;0;379;86;100;0;36;39;40;40;42;83,72;90,7;93,02;93,02;97,67
1;Tesla;201;pair;ActionExchange;81;0;379;86;100;0;61;72;76;78;81;75,31;88,89;93,83;96,3;100
1;Tesla;201;pair;StateMissing;30;0;379;86;100;0;29;30;30;30;30;96,67;100;100;100;100
1;Tesla;201;pair;TransitionDestinationExchange;81;11;379;86;100;0;49;58;60;62;68;70;82,86;85,71;88,57;97,14
1;Tesla;202;state;TransitionMissing;41;0;65;82;100;0;25;30;31;32;34;60,98;73,17;75,61;78,05;82,93
1;Tesla;202;state;ActionExchange;77;0;65;82;100;0;37;49;54;57;63;48,05;63,64;70,13;74,03;81,82
1;Tesla;202;state;StateMissing;29;0;65;82;100;0;24;27;27;28;29;82,76;93,1;93,1;96,55;100
1;Tesla;202;state;TransitionDestinationExchange;77;11;65;82;100;0;28;37;40;43;50;42,42;56,06;60,61;65,15;75,76
1;Tesla;202;transition;TransitionMissing;41;0;265;82;100;0;33;36;37;38;39;80,49;87,8;90,24;92,68;95,12
1;Tesla;202;transition;ActionExchange;77;0;265;82;100;0;56;66;69;72;76;72,73;85,71;89,61;93,51;98,7
1;Tesla;202;transition;StateMissing;29;0;265;82;100;0;28;29;29;29;29;96,55;100;100;100;100
1;Tesla;202;transition;TransitionDestinationExchange;77;11;265;82;100;0;43;51;53;56;62;65,15;77,27;80,3;84,85;93,94
1;Tesla;202;pair;TransitionMissing;41;0;378;82;100;0;34;37;38;39;41;82,93;90,24;92,68;95,12;100
1;Tesla;202;pair;ActionExchange;77;0;378;82;100;0;59;70;72;75;77;76,62;90,91;93,51;97,4;100
1;Tesla;202;pair;StateMissing;29;0;378;82;100;0;28;29;29;29;29;96,55;100;100;100;100
1;Tesla;202;pair;TransitionDestinationExchange;77;11;378;82;100;0;46;55;57;60;64;69,7;83,33;86,36;90,91;96,97
1;Tesla;203;state;TransitionMissing;41;0;40;82;100;0;25;29;30;30;33;60,98;70,73;73,17;73,17;80,49
1;Tesla;203;state;ActionExchange;77;0;40;82;100;0;37;45;49;51;58;48,05;58,44;63,64;66,23;75,32
1;Tesla;203;state;StateMissing;29;0;40;82;100;0;24;26;27;28;29;82,76;89,66;93,1;96,55;100
1;Tesla;203;state;TransitionDestinationExchange;77;11;40;82;100;0;27;34;37;39;45;40,91;51,52;56,06;59,09;68,18
1;Tesla;203;transition;TransitionMissing;41;0;240;82;100;0;32;36;36;37;39;78,05;87,8;87,8;90,24;95,12
1;Tesla;203;transition;ActionExchange;77;0;240;82;100;0;55;66;68;71;76;71,43;85,71;88,31;92,21;98,7
1;Tesla;203;transition;StateMissing;29;0;240;82;100;0;28;29;29;29;29;96,55;100;100;100;100
1;Tesla;203;transition;TransitionDestinationExchange;77;11;240;82;100;0;41;50;53;55;61;62,12;75,76;80,3;83,33;92,42
1;Tesla;203;pair;TransitionMissing;41;0;378;82;100;0;34;37;38;39;41;82,93;90,24;92,68;95,12;100
1;Tesla;203;pair;ActionExchange;77;0;378;82;100;0;59;70;73;75;77;76,62;90,91;94,81;97,4;100
1;Tesla;203;pair;StateMissing;29;0;378;82;100;0;28;29;29;29;29;96,55;100;100;100;100
1;Tesla;203;pair;TransitionDestinationExchange;77;11;378;82;100;0;44;56;58;60;63;66,67;84,85;87,88;90,91;95,45
1;Tesla;204;state;TransitionMissing;34;0;38;68;100;0;25;27;28;28;30;73,53;79,41;82,35;82,35;88,24
1;Tesla;204;state;ActionExchange;51;0;38;68;100;0;32;37;39;41;45;62,75;72,55;76,47;80,39;88,24
1;Tesla;204;state;StateMissing;27;0;38;68;100;0;24;25;26;26;27;88,89;92,59;96,3;96,3;100
1;Tesla;204;state;TransitionDestinationExchange;51;5;38;68;100;0;26;30;31;33;37;56,52;65,22;67,39;71,74;80,43
1;Tesla;204;transition;TransitionMissing;34;0;158;68;100;0;27;31;31;32;34;79,41;91,18;91,18;94,12;100
1;Tesla;204;transition;ActionExchange;51;0;158;68;100;0;37;46;48;49;51;72,55;90,2;94,12;96,08;100
1;Tesla;204;transition;StateMissing;27;0;158;68;100;0;25;27;27;27;27;92,59;100;100;100;100
1;Tesla;204;transition;TransitionDestinationExchange;51;5;158;68;100;0;30;38;40;41;45;65,22;82,61;86,96;89,13;97,83
1;Tesla;204;pair;TransitionMissing;34;0;213;68;100;0;29;31;32;33;34;85,29;91,18;94,12;97,06;100
1;Tesla;204;pair;ActionExchange;51;0;213;68;100;0;42;47;49;50;51;82,35;92,16;96,08;98,04;100
