RunID;SPL Name;Coverage Type;Product Index;FTS States;FTS Transitions;Test Cases;Total Test Actions;Coverage(%);Projection Time(ms);Test Generation Time(ms);Transformation Time(ms);Test Execution Time(ms);Test Generation Peak Memory(MB);Test Execution Peak Memory(MB);Wall Clock Time(ms);Segment Sum Time(ms)
7;eMail;state;1;9;18;3;9;100;7,53;5,67;0;2,71;12,39;12,39;19,71;15,92
7;eMail;transition;1;9;18;6;17;100;2,55;12,25;0;1,36;13,39;13,39;18,64;16,16
7;eMail;pair;1;9;18;20;82;100;1,26;3,84;6,78;2,42;13,39;13,39;22,18;14,3
7;eMail;state;2;7;13;2;6;100;1,08;0,9;0;0,17;14,39;14,39;3,49;2,15
7;eMail;transition;2;7;13;3;12;100;1,07;2,19;0;0,36;14,39;14,39;5,08;3,62
7;eMail;pair;2;7;13;9;46;100;0,92;0,46;1,8;1,03;14,39;14,39;6,86;4,2
7;eMail;state;3;6;12;2;6;100;0,76;0,83;0;0,16;15,39;15,39;2,96;1,75
7;eMail;transition;3;6;12;4;11;100;0,7;1,76;0;0,35;15,39;15,39;4,1;2,82
7;eMail;pair;3;6;12;8;39;100;0,8;0,2;1,7;0,85;15,39;15,39;5,67;3,55
7;eMail;state;4;11;23;5;15;100;0,61;0,8;0;0,4;15,39;16,39;3,08;1,81
7;eMail;transition;4;11;23;8;21;100;0,58;1,97;0;0,38;16,39;16,39;4,38;2,92
7;eMail;pair;4;11;23;45;135;100;0,54;0,49;4,17;2,14;17,39;17,39;10,02;7,34
7;eMail;state;5;9;18;3;9;100;0,52;0,49;0;0,22;17,39;17,39;2,6;1,23
7;eMail;transition;5;9;18;5;16;100;0,91;1,25;0;0,16;17,39;17,39;3,1;2,32
7;eMail;pair;5;9;18;28;89;100;0,29;0,43;3,29;10,43;18,39;21,83;16,51;14,44
7;eMail;state;6;8;16;3;8;100;0,57;0,6;0;0,25;5,83;5,83;2,53;1,42
7;eMail;transition;6;8;16;5;15;100;0,45;1,14;0;0,19;5,83;5,83;2,54;1,78
7;eMail;pair;6;8;16;16;65;100;0,5;0,27;1,7;0,44;6,83;6,83;4,75;2,92
7;eMail;state;7;8;18;3;8;100;0,6;0,5;0;0,12;6,83;6,83;1,97;1,22
7;eMail;transition;7;8;18;7;16;100;0,4;1,06;0;0,27;6,83;6,83;2,58;1,73
7;eMail;pair;7;8;18;29;89;100;0,38;0,36;2,73;0,61;7,83;7,83;5,61;4,08
7;eMail;state;8;8;17;3;8;100;0,36;0,38;0;0,1;7,83;7,83;1,45;0,84
7;eMail;transition;8;8;17;5;15;100;0,31;0,92;0;0,19;8,83;8,83;2,03;1,42
7;eMail;pair;8;8;17;29;89;100;0,45;0,34;2,42;0,4;8,83;8,83;5,02;3,61
7;eMail;state;9;11;22;5;15;100;0,34;0,51;0;0,14;8,83;9,83;1,51;0,99
7;eMail;transition;9;11;22;7;20;100;0,41;0,99;0;0,18;9,83;9,83;2,1;1,58
7;eMail;pair;9;11;22;43;127;100;0,36;0,46;2,59;0,85;9,83;10,83;5,86;4,25
7;eMail;state;10;9;19;4;12;100;0,34;0,52;0;0,14;10,83;10,83;1,62;1
7;eMail;transition;10;9;19;6;17;100;0,29;1,1;0;0,15;10,83;10,83;2,17;1,54
7;eMail;pair;10;9;19;28;89;100;0,32;0,58;2,68;0,38;11,83;11,83;5,4;3,96
7;eMail;state;11;8;17;3;9;100;0,46;0,51;0;0,1;11,83;11,83;1,82;1,07
7;eMail;transition;11;8;17;6;15;100;0,37;1,03;0;0,14;11,83;11,83;2,24;1,54
7;eMail;pair;11;8;17;29;87;100;0,32;0,29;1,94;0,32;12,83;12,83;4,1;2,87
7;eMail;state;12;8;15;3;8;100;0,39;0,43;0;0,05;12,83;12,83;1,32;0,87
7;eMail;transition;12;8;15;4;14;100;0,35;0,78;0;0,07;13,83;13,83;1,66;1,2
7;eMail;pair;12;8;15;21;77;100;0,41;0,26;1,37;0,27;13,83;13,83;3,54;2,31
7;eMail;state;13;10;21;4;11;100;0,3;0,36;0;0,07;13,83;13,83;1,17;0,73
7;eMail;transition;13;10;21;8;19;100;0,36;0,98;0;0,11;14,83;14,83;1,93;1,45
7;eMail;pair;13;10;21;42;122;100;0,29;0,36;2,14;0,51;14,83;15,83;4,41;3,3
7;eMail;state;14;10;21;4;11;100;0,34;0,44;0;0,08;15,83;15,83;1,7;0,86
7;eMail;transition;14;10;21;7;19;100;0,28;0,8;0;0,11;15,83;15,83;1,76;1,2
7;eMail;pair;14;10;21;42;123;100;0,32;0,34;2,4;0,68;16,83;16,83;5,37;3,74
7;eMail;state;15;7;14;2;6;100;0,46;0,53;0;0,05;16,83;16,83;1,72;1,04
