RunID;SPL Name;Product Index;Coverage Budget Source;Operator;Total Mutants;Equivalent Count;Action Budget;Max Steps Per Case;Seed Count;Aborted Walks Total;Killed Min;Killed P25;Killed Median;Killed P75;Killed Max;Mutation Score Min(%);Mutation Score P25(%);Mutation Score Median(%);Mutation Score P75(%);Mutation Score Max(%)
1;eMail;1;state;TransitionMissing;17;0;9;36;100;0;2;5;8;9;12;11,76;29,41;47,06;52,94;70,59
1;eMail;1;state;ActionExchange;60;0;9;36;100;0;5;12;32;37;50;8,33;20;53,33;61,67;83,33
1;eMail;1;state;StateMissing;8;0;9;36;100;0;2;4;5;6;8;25;50;62,5;75;100
1;eMail;1;state;TransitionDestinationExchange;50;14;9;36;100;0;4;8;15;17;24;11,11;22,22;41,67;47,22;66,67
1;eMail;1;transition;TransitionMissing;17;0;26;36;100;0;9;11;12;13;16;52,94;64,71;70,59;76,47;94,12
1;eMail;1;transition;ActionExchange;60;0;26;36;100;0;30;40;47;50;57;50;66,67;78,33;83,33;95
1;eMail;1;transition;StateMissing;8;0;26;36;100;0;4;7;7;8;8;50;87,5;87,5;100;100
1;eMail;1;transition;TransitionDestinationExchange;50;14;26;36;100;0;13;20;23;26;31;36,11;55,56;63,89;72,22;86,11
1;eMail;1;pair;TransitionMissing;17;0;82;36;100;0;13;15;16;17;17;76,47;88,24;94,12;100;100
1;eMail;1;pair;ActionExchange;60;0;82;36;100;0;48;55;57;60;60;80;91,67;95;100;100
1;eMail;1;pair;StateMissing;8;0;82;36;100;0;6;8;8;8;8;75;100;100;100;100
1;eMail;1;pair;TransitionDestinationExchange;50;14;82;36;100;0;22;30;32;35;36;61,11;83,33;88,89;97,22;100
1;eMail;2;state;TransitionMissing;11;0;6;24;100;6;3;6;6;7;9;27,27;54,55;54,55;63,64;81,82
1;eMail;2;state;ActionExchange;24;0;6;24;100;6;12;17;18;19;19;50;70,83;75;79,17;79,17
1;eMail;2;state;StateMissing;5;0;6;24;100;6;2;2;2;2;5;40;40;40;40;100
1;eMail;2;state;TransitionDestinationExchange;20;5;6;24;100;6;3;5;7;8;9;20;33,33;46,67;53,33;60
1;eMail;2;transition;TransitionMissing;11;0;17;24;100;10;5;7;7;10;11;45,45;63,64;63,64;90,91;100
1;eMail;2;transition;ActionExchange;24;0;17;24;100;10;14;19;19;21;24;58,33;79,17;79,17;87,5;100
1;eMail;2;transition;StateMissing;5;0;17;24;100;10;2;2;2;5;5;40;40;40;100;100
1;eMail;2;transition;TransitionDestinationExchange;20;5;17;24;100;10;5;8;9;11;14;33,33;53,33;60;73,33;93,33
1;eMail;2;pair;TransitionMissing;11;0;39;24;100;19;7;9;11;11;11;63,64;81,82;100;100;100
1;eMail;2;pair;ActionExchange;24;0;39;24;100;19;19;21;24;24;24;79,17;87,5;100;100;100
1;eMail;2;pair;StateMissing;5;0;39;24;100;19;2;4;5;5;5;40;80;100;100;100
1;eMail;2;pair;TransitionDestinationExchange;20;5;39;24;100;19;8;12;13;14;15;53,33;80;86,67;93,33;100
1;eMail;3;state;TransitionMissing;13;0;6;28;100;0;4;6;7;8;10;30,77;46,15;53,85;61,54;76,92
1;eMail;3;state;ActionExchange;40;0;6;28;100;0;17;23;26;30;38;42,5;57,5;65;75;95
1;eMail;3;state;StateMissing;6;0;6;28;100;0;2;3;4;4;6;33,33;50;66,67;66,67;100
1;eMail;3;state;TransitionDestinationExchange;35;8;6;28;100;0;4;10;12;15;22;14,81;37,04;44,44;55,56;81,48
1;eMail;3;transition;TransitionMissing;13;0;19;28;100;1;6;8;10;11;12;46,15;61,54;76,92;84,62;92,31
1;eMail;3;transition;ActionExchange;40;0;19;28;100;1;18;30;33;36;40;45;75;82,5;90;100
1;eMail;3;transition;StateMissing;6;0;19;28;100;1;2;4;5;6;6;33,33;66,67;83,33;100;100
1;eMail;3;transition;TransitionDestinationExchange;35;8;19;28;100;1;7;15;18;20;25;25,93;55,56;66,67;74,07;92,59
1;eMail;3;pair;TransitionMissing;13;0;50;28;100;2;9;11;12;13;13;69,23;84,62;92,31;100;100
1;eMail;3;pair;ActionExchange;40;0;50;28;100;2;27;37;38;40;40;67,5;92,5;95;100;100
1;eMail;3;pair;StateMissing;6;0;50;28;100;2;4;6;6;6;6;66,67;100;100;100;100
1;eMail;3;pair;TransitionDestinationExchange;35;8;50;28;100;2;13;22;23;26;27;48,15;81,48;85,19;96,3;100
1;eMail;4;state;TransitionMissing;21;0;15;46;100;0;3;7;9;11;15;14,29;33,33;42,86;52,38;71,43
1;eMail;4;state;ActionExchange;82;0;15;46;100;0;10;27;45;52;64;12,2;32,93;54,88;63,41;78,05
1;eMail;4;state;StateMissing;10;0;15;46;100;0;2;4;6;7;9;20;40;60;70;90
1;eMail;4;state;TransitionDestinationExchange;75;21;15;46;100;0;7;18;22;26;40;12,96;33,33;40,74;48,15;74,07
1;eMail;4;transition;TransitionMissing;21;0;31;46;100;0;4;11;14;16;19;19,05;52,38;66,67;76,19;90,48
1;eMail;4;transition;ActionExchange;82;0;31;46;100;0;16;51;58;64;78;19,51;62,2;70,73;78,05;95,12
1;eMail;4;transition;StateMissing;10;0;31;46;100;0;2;6;8;9;10;20;60;80;90;100
1;eMail;4;transition;TransitionDestinationExchange;75;21;31;46;100;0;11;27;34;38;46;20,37;50;62,96;70,37;85,19
1;eMail;4;pair;TransitionMissing;21;0;135;46;100;0;14;18;19;20;21;66,67;85,71;90,48;95,24;100
1;eMail;4;pair;ActionExchange;82;0;135;46;100;0;51;73;77;81;82;62,2;89,02;93,9;98,78;100
1;eMail;4;pair;StateMissing;10;0;135;46;100;0;8;10;10;10;10;80;100;100;100;100
1;eMail;4;pair;TransitionDestinationExchange;75;21;135;46;100;0;32;45;49;51;54;59,26;83,33;90,74;94,44;100
1;eMail;5;state;TransitionMissing;13;0;7;30;100;0;2;5;5;7;11;15,38;38,46;38,46;53,85;84,62
1;eMail;5;state;ActionExchange;34;0;7;30;100;0;7;13;13;27;33;20,59;38,24;38,24;79,41;97,06
1;eMail;5;state;StateMissing;6;0;7;30;100;0;2;4;4;4;6;33,33;66,67;66,67;66,67;100
1;eMail;5;state;TransitionDestinationExchange;33;6;7;30;100;0;5;11;11;13;19;18,52;40,74;40,74;48,15;70,37
1;eMail;5;transition;TransitionMissing;13;0;18;30;100;0;5;6;9;10;13;38,46;46,15;69,23;76,92;100
1;eMail;5;transition;ActionExchange;34;0;18;30;100;0;13;15;30;32;34;38,24;44,12;88,24;94,12;100
1;eMail;5;transition;StateMissing;6;0;18;30;100;0;4;4;5;6;6;66,67;66,67;83,33;100;100
1;eMail;5;transition;TransitionDestinationExchange;33;6;18;30;100;0;11;14;16;19;26;40,74;51,85;59,26;70,37;96,3
1;eMail;5;pair;TransitionMissing;13;0;55;30;100;6;6;12;13;13;13;46,15;92,31;100;100;100
1;eMail;5;pair;ActionExchange;34;0;55;30;100;6;15;33;34;34;34;44,12;97,06;100;100;100
1;eMail;5;pair;StateMissing;6;0;55;30;100;6;4;6;6;6;6;66,67;100;100;100;100
1;eMail;5;pair;TransitionDestinationExchange;33;6;55;30;100;6;14;23;25;26;27;51,85;85,19;92,59;96,3;100
1;eMail;6;state;TransitionMissing;12;0;6;26;100;3;4;6;6;7;9;33,33;50;50;58,33;75
1;eMail;6;state;ActionExchange;31;0;6;26;100;3;15;18;22;24;28;48,39;58,06;70,97;77,42;90,32
1;eMail;6;state;StateMissing;5;0;6;26;100;3;2;2;3;3;5;40;40;60;60;100
1;eMail;6;state;TransitionDestinationExchange;27;7;6;26;100;3;3;7;9;11;15;15;35;45;55;75
1;eMail;6;transition;TransitionMissing;12;0;21;26;100;3;6;9;10;10;12;50;75;83,33;83,33;100
1;eMail;6;transition;ActionExchange;31;0;21;26;100;3;20;25;28;29;31;64,52;80,65;90,32;93,55;100
1;eMail;6;transition;StateMissing;5;0;21;26;100;3;2;3;5;5;5;40;60;100;100;100
1;eMail;6;transition;TransitionDestinationExchange;27;7;21;26;100;3;7;13;14;16;20;35;65;70;80;100
1;eMail;6;pair;TransitionMissing;12;0;41;26;100;3;8;10;11;12;12;66,67;83,33;91,67;100;100
1;eMail;6;pair;ActionExchange;31;0;41;26;100;3;21;28;30;31;31;67,74;90,32;96,77;100;100
1;eMail;6;pair;StateMissing;5;0;41;26;100;3;3;5;5;5;5;60;100;100;100;100
1;eMail;6;pair;TransitionDestinationExchange;27;7;41;26;100;3;11;15;17;19;20;55;75;85;95;100
1;eMail;7;state;TransitionMissing;16;0;9;34;100;0;3;7;8;10;13;18,75;43,75;50;62,5;81,25
1;eMail;7;state;ActionExchange;49;0;9;34;100;0;9;22;28;33;40;18,37;44,9;57,14;67,35;81,63
1;eMail;7;state;StateMissing;7;0;9;34;100;0;2;4;5;5;7;28,57;57,14;71,43;71,43;100
1;eMail;7;state;TransitionDestinationExchange;41;13;9;34;100;0;4;10;12;15;21;14,29;35,71;42,86;53,57;75
1;eMail;7;transition;TransitionMissing;16;0;28;34;100;0;8;12;13;14;15;50;75;81,25;87,5;93,75
1;eMail;7;transition;ActionExchange;49;0;28;34;100;0;31;37;40;43;48;63,27;75,51;81,63;87,76;97,96
1;eMail;7;transition;StateMissing;7;0;28;34;100;0;3;7;7;7;7;42,86;100;100;100;100
1;eMail;7;transition;TransitionDestinationExchange;41;13;28;34;100;0;13;18;21;22;28;46,43;64,29;75;78,57;100
1;eMail;7;pair;TransitionMissing;16;0;69;34;100;1;12;14;15;16;16;75;87,5;93,75;100;100
1;eMail;7;pair;ActionExchange;49;0;69;34;100;1;38;46;47;49;49;77,55;93,88;95,92;100;100
