# task         SPL                       start  end   runId  shard_id
# RQ2 mutation (one runId per shard; deterministic up to random seed loop)
rq2_mut       Syngovia                  0      20    1      svia00
rq2_mut       Syngovia                  20     40    1      svia01
rq2_mut       Syngovia                  40     60    1      svia02
rq2_mut       Syngovia                  60     80    1      svia03
rq2_mut       Syngovia                  80     100   1      svia04
rq2_mut       Syngovia                  100    120   1      svia05
rq2_mut       Syngovia                  120    140   1      svia06
rq2_mut       Syngovia                  140    160   1      svia07
rq2_mut       Syngovia                  160    180   1      svia08
rq2_mut       Syngovia                  180    200   1      svia09
rq2_mut       Syngovia                  200    220   1      svia10
rq2_mut       Syngovia                  220    240   1      svia11
rq2_mut       Syngovia                  240    260   1      svia12
rq2_mut       Syngovia                  260    280   1      svia13
rq2_mut       Syngovia                  280    300   1      svia14
rq2_mut       Syngovia                  300    320   1      svia15
rq2_mut       Syngovia                  320    340   1      svia16
rq2_mut       Syngovia                  340    360   1      svia17
rq2_mut       Syngovia                  360    380   1      svia18
rq2_mut       Syngovia                  380    400   1      svia19
rq2_mut       StudentAttendanceSystem   0      1332  1      sas00
rq2_mut       StudentAttendanceSystem   1332   2664  1      sas01
rq2_mut       HockertyShirts            0      208   1      hs00
rq2_mut       HockertyShirts            208    416   1      hs01
rq2_mut       Tesla                     0      200   1      te00
rq2_mut       Tesla                     200    400   1      te01
rq2_mut       BankAccountv2             0      999999 1      bav200
rq2_mut       Elevator                  0      999999 1      el00
rq2_mut       eMail                     0      999999 1      em00
rq2_mut       SVM                       0      999999 1      svm00

# RQ1 scalability sweep (11 runs × 8 SPLs)
rq1_scal      SVM                       0      999999 1      svm_r01
rq1_scal      SVM                       0      999999 2      svm_r02
rq1_scal      SVM                       0      999999 3      svm_r03
rq1_scal      SVM                       0      999999 4      svm_r04
rq1_scal      SVM                       0      999999 5      svm_r05
rq1_scal      SVM                       0      999999 6      svm_r06
rq1_scal      SVM                       0      999999 7      svm_r07
rq1_scal      SVM                       0      999999 8      svm_r08
rq1_scal      SVM                       0      999999 9      svm_r09
rq1_scal      SVM                       0      999999 10     svm_r10
rq1_scal      SVM                       0      999999 11     svm_r11
rq1_scal      eMail                     0      999999 1      email_r01
rq1_scal      eMail                     0      999999 2      email_r02
rq1_scal      eMail                     0      999999 3      email_r03
rq1_scal      eMail                     0      999999 4      email_r04
rq1_scal      eMail                     0      999999 5      email_r05
rq1_scal      eMail                     0      999999 6      email_r06
rq1_scal      eMail                     0      999999 7      email_r07
rq1_scal      eMail                     0      999999 8      email_r08
rq1_scal      eMail                     0      999999 9      email_r09
rq1_scal      eMail                     0      999999 10     email_r10
rq1_scal      eMail                     0      999999 11     email_r11
rq1_scal      Elevator                  0      999999 1      elevat_r01
rq1_scal      Elevator                  0      999999 2      elevat_r02
rq1_scal      Elevator                  0      999999 3      elevat_r03
rq1_scal      Elevator                  0      999999 4      elevat_r04
rq1_scal      Elevator                  0      999999 5      elevat_r05
rq1_scal      Elevator                  0      999999 6      elevat_r06
rq1_scal      Elevator                  0      999999 7      elevat_r07
rq1_scal      Elevator                  0      999999 8      elevat_r08
rq1_scal      Elevator                  0      999999 9      elevat_r09
rq1_scal      Elevator                  0      999999 10     elevat_r10
rq1_scal      Elevator                  0      999999 11     elevat_r11
rq1_scal      BankAccountv2             0      999999 1      bankac_r01
rq1_scal      BankAccountv2             0      999999 2      bankac_r02
rq1_scal      BankAccountv2             0      999999 3      bankac_r03
rq1_scal      BankAccountv2             0      999999 4      bankac_r04
rq1_scal      BankAccountv2             0      999999 5      bankac_r05
rq1_scal      BankAccountv2             0      999999 6      bankac_r06
rq1_scal      BankAccountv2             0      999999 7      bankac_r07
rq1_scal      BankAccountv2             0      999999 8      bankac_r08
rq1_scal      BankAccountv2             0      999999 9      bankac_r09
rq1_scal      BankAccountv2             0      999999 10     bankac_r10
rq1_scal      BankAccountv2             0      999999 11     bankac_r11
rq1_scal      StudentAttendanceSystem   0      999999 1      studen_r01
rq1_scal      StudentAttendanceSystem   0      999999 2      studen_r02
rq1_scal      StudentAttendanceSystem   0      999999 3      studen_r03
rq1_scal      StudentAttendanceSystem   0      999999 4      studen_r04
rq1_scal      StudentAttendanceSystem   0      999999 5      studen_r05
rq1_scal      StudentAttendanceSystem   0      999999 6      studen_r06
rq1_scal      StudentAttendanceSystem   0      999999 7      studen_r07
rq1_scal      StudentAttendanceSystem   0      999999 8      studen_r08
rq1_scal      StudentAttendanceSystem   0      999999 9      studen_r09
rq1_scal      StudentAttendanceSystem   0      999999 10     studen_r10
rq1_scal      StudentAttendanceSystem   0      999999 11     studen_r11
rq1_scal      Syngovia                  0      999999 1      syngov_r01
rq1_scal      Syngovia                  0      999999 2      syngov_r02
rq1_scal      Syngovia                  0      999999 3      syngov_r03
rq1_scal      Syngovia                  0      999999 4      syngov_r04
rq1_scal      Syngovia                  0      999999 5      syngov_r05
rq1_scal      Syngovia                  0      999999 6      syngov_r06
rq1_scal      Syngovia                  0      999999 7      syngov_r07
rq1_scal      Syngovia                  0      999999 8      syngov_r08
rq1_scal      Syngovia                  0      999999 9      syngov_r09
rq1_scal      Syngovia                  0      999999 10     syngov_r10
rq1_scal      Syngovia                  0      999999 11     syngov_r11
rq1_scal      Tesla                     0      999999 1      tesla_r01
rq1_scal      Tesla                     0      999999 2      tesla_r02
rq1_scal      Tesla                     0      999999 3      tesla_r03
rq1_scal      Tesla                     0      999999 4      tesla_r04
rq1_scal      Tesla                     0      999999 5      tesla_r05
rq1_scal      Tesla                     0      999999 6      tesla_r06
rq1_scal      Tesla                     0      999999 7      tesla_r07
rq1_scal      Tesla                     0      999999 8      tesla_r08
rq1_scal      Tesla                     0      999999 9      tesla_r09
rq1_scal      Tesla                     0      999999 10     tesla_r10
rq1_scal      Tesla                     0      999999 11     tesla_r11
rq1_scal      HockertyShirts            0      999999 1      hocker_r01
rq1_scal      HockertyShirts            0      999999 2      hocker_r02
rq1_scal      HockertyShirts            0      999999 3      hocker_r03
rq1_scal      HockertyShirts            0      999999 4      hocker_r04
rq1_scal      HockertyShirts            0      999999 5      hocker_r05
rq1_scal      HockertyShirts            0      999999 6      hocker_r06
rq1_scal      HockertyShirts            0      999999 7      hocker_r07
rq1_scal      HockertyShirts            0      999999 8      hocker_r08
rq1_scal      HockertyShirts            0      999999 9      hocker_r09
rq1_scal      HockertyShirts            0      999999 10     hocker_r10
rq1_scal      HockertyShirts            0      999999 11     hocker_r11
